name, ImageNet100 Error, ImageNet100-R Error, ImageNet100-C Error
Std. Resnet50, 0.058, 0.574, 0.386
Deep. Resnet50, 0.058, 0.508, 0.249
Amda Resnet50, 0.062, 0.449, 0.206
Augmix Resnet50, 0.055, 0.523, 0.29
Swsl Resnet50, 0.038, 0.259, 0.256
