,Loss Function,clean Error,epoch,lr-SGD,method,pretrained,ratio,step,test_acc_brightness_1,test_acc_brightness_2,test_acc_brightness_3,test_acc_brightness_4,test_acc_brightness_5,test_acc_clean,test_acc_contrast_1,test_acc_contrast_2,test_acc_contrast_3,test_acc_contrast_4,test_acc_contrast_5,test_acc_defocus_blur_1,test_acc_defocus_blur_2,test_acc_defocus_blur_3,test_acc_defocus_blur_4,test_acc_defocus_blur_5,test_acc_elastic_transform_1,test_acc_elastic_transform_2,test_acc_elastic_transform_3,test_acc_elastic_transform_4,test_acc_elastic_transform_5,test_acc_fog_1,test_acc_fog_2,test_acc_fog_3,test_acc_fog_4,test_acc_fog_5,test_acc_frost_1,test_acc_frost_2,test_acc_frost_3,test_acc_frost_4,test_acc_frost_5,test_acc_gaussian_blur_1,test_acc_gaussian_blur_2,test_acc_gaussian_blur_3,test_acc_gaussian_blur_4,test_acc_gaussian_blur_5,test_acc_gaussian_noise_1,test_acc_gaussian_noise_2,test_acc_gaussian_noise_3,test_acc_gaussian_noise_4,test_acc_gaussian_noise_5,test_acc_glass_blur_1,test_acc_glass_blur_2,test_acc_glass_blur_3,test_acc_glass_blur_4,test_acc_glass_blur_5,test_acc_impulse_noise_1,test_acc_impulse_noise_2,test_acc_impulse_noise_3,test_acc_impulse_noise_4,test_acc_impulse_noise_5,test_acc_jpeg_compression_1,test_acc_jpeg_compression_2,test_acc_jpeg_compression_3,test_acc_jpeg_compression_4,test_acc_jpeg_compression_5,test_acc_motion_blur_1,test_acc_motion_blur_2,test_acc_motion_blur_3,test_acc_motion_blur_4,test_acc_motion_blur_5,test_acc_pixelate_1,test_acc_pixelate_2,test_acc_pixelate_3,test_acc_pixelate_4,test_acc_pixelate_5,test_acc_saturate_1,test_acc_saturate_2,test_acc_saturate_3,test_acc_saturate_4,test_acc_saturate_5,test_acc_shot_noise_1,test_acc_shot_noise_2,test_acc_shot_noise_3,test_acc_shot_noise_4,test_acc_shot_noise_5,test_acc_snow_1,test_acc_snow_2,test_acc_snow_3,test_acc_snow_4,test_acc_snow_5,test_acc_spatter_1,test_acc_spatter_2,test_acc_spatter_3,test_acc_spatter_4,test_acc_spatter_5,test_acc_speckle_noise_1,test_acc_speckle_noise_2,test_acc_speckle_noise_3,test_acc_speckle_noise_4,test_acc_speckle_noise_5,test_acc_zoom_blur_1,test_acc_zoom_blur_2,test_acc_zoom_blur_3,test_acc_zoom_blur_4,test_acc_zoom_blur_5,test_mCE,train_acc,train_augmix_loss,train_kl_loss,train_loss,val_acc,val_loss
150,AugmixLoss,0.3090999722480774,49.0,,global_weight,standard,2.0,19550,0.6888999938964844,0.6823999881744385,0.6669999957084656,0.6452999711036682,0.5845999717712402,0.6909000277519226,0.6783999800682068,0.6144000291824341,0.5548999905586243,0.4629000127315521,0.20900000631809235,0.6877999901771545,0.675000011920929,0.6510999798774719,0.5971999764442444,0.5037000179290771,0.6212999820709229,0.6284000277519226,0.6100000143051147,0.5295000076293945,0.4420000016689301,0.6816999912261963,0.6466000080108643,0.6015999913215637,0.5358999967575073,0.3443000018596649,0.6236000061035156,0.5509999990463257,0.4449000060558319,0.4359999895095825,0.3449999988079071,0.6876999735832214,0.6499999761581421,0.6051999926567078,0.5559999942779541,0.438400000333786,0.534500002861023,0.4113999903202057,0.3161999881267548,0.2732000052928925,0.2329999953508377,0.3203000128269196,0.3319999873638153,0.3433000147342682,0.2480999976396561,0.2556999921798706,0.6489999890327454,0.5891000032424927,0.522599995136261,0.37049999833107,0.2449000030755997,0.5845999717712402,0.5349000096321106,0.5103999972343445,0.4882999956607818,0.4636000096797943,0.6359999775886536,0.5841000080108643,0.5169000029563904,0.5184000134468079,0.4442000091075897,0.6510000228881836,0.5656999945640564,0.499099999666214,0.29670000076293945,0.15610000491142273,0.5685999989509583,0.4885999858379364,0.6662999987602234,0.5978000164031982,0.5221999883651733,0.600600004196167,0.5322999954223633,0.39800000190734863,0.3555000126361847,0.2815000116825104,0.6456999778747559,0.5202999711036682,0.5360999703407288,0.4964999854564667,0.4330999851226807,0.6739000082015991,0.6399999856948853,0.5737000107765198,0.6288999915122986,0.5690000057220459,0.6090999841690063,0.5144000053405762,0.4735000133514404,0.3846000134944916,0.3147000074386597,0.6261000037193298,0.6225000023841858,0.5968999862670898,0.5645999908447266,0.5127999782562256,0.4850178956985474,,,,,,
150,AugmixLoss,0.2954000234603882,49.0,,global_weight,augmix,2.0,19550,0.7023000121116638,0.6923999786376953,0.6794000267982483,0.6625000238418579,0.6049000024795532,0.7045999765396118,0.6935999989509583,0.6449000239372253,0.5997999906539917,0.522599995136261,0.2678999900817871,0.7044000029563904,0.6883999705314636,0.6676999926567078,0.6225000023841858,0.535099983215332,0.6298999786376953,0.6453999876976013,0.6222000122070312,0.5376999974250793,0.4515999853610992,0.6945000290870667,0.6635000109672546,0.608299970626831,0.5439000129699707,0.3407000005245209,0.6409000158309937,0.5813999772071838,0.48539999127388,0.4740000069141388,0.38609999418258667,0.7037000060081482,0.6661999821662903,0.6305000185966492,0.5871999859809875,0.4812000095844269,0.5622000098228455,0.4541999995708466,0.3562000095844269,0.3095000088214874,0.2770000100135803,0.3479999899864197,0.3564000129699707,0.3702000081539154,0.26339998841285706,0.2712999880313873,0.6629999876022339,0.6130999922752379,0.5496000051498413,0.414900004863739,0.2851000130176544,0.6021000146865845,0.5493000149726868,0.53329998254776,0.5152999758720398,0.4889999926090241,0.6563000082969666,0.5968999862670898,0.5309000015258789,0.535099983215332,0.4666000008583069,0.6711999773979187,0.6011000275611877,0.5453000068664551,0.3589000105857849,0.19290000200271606,0.5788000226020813,0.5008000135421753,0.6766999959945679,0.6014999747276306,0.5403000116348267,0.6273000240325928,0.5648999810218811,0.4467000067234039,0.3995999991893768,0.3248000144958496,0.6559000015258789,0.5411000251770021,0.5523999929428101,0.5149999856948853,0.4623999893665314,0.682699978351593,0.6557999849319458,0.5916000008583069,0.6474999785423279,0.5929999947547913,0.6373000144958496,0.5551000237464905,0.5102999806404114,0.4334000051021576,0.3594000041484833,0.6456999778747559,0.6406000256538391,0.6151999831199646,0.5914000272750854,0.5411999821662903,0.4601116180419922,,,,,,
150,AugmixLoss,0.33389997482299794,49.0,,global_weight,standard,4.0,19550,0.6624000072479248,0.6565999984741211,0.6388000249862671,0.6173999905586243,0.5570999979972839,0.6661000251770021,0.6491000056266785,0.5784000158309937,0.5234000086784363,0.42910000681877136,0.19120000302791595,0.6654000282287598,0.6499000191688538,0.6197999715805054,0.5666999816894531,0.4758000075817108,0.5935999751091003,0.6007000207901001,0.5792999863624573,0.5073999762535095,0.42680001258850103,0.6554999947547913,0.6111000180244446,0.5687000155448914,0.4977000057697296,0.3082999885082245,0.5932999849319458,0.5256000161170961,0.4199000000953674,0.4036999940872192,0.3242000043392181,0.6653000116348267,0.6158999800682068,0.5705000162124634,0.5224999785423279,0.4140999913215637,0.4973999857902527,0.37299999594688416,0.2773999869823456,0.2391999959945679,0.20880000293254847,0.3077000081539154,0.31949999928474426,0.328900009393692,0.239999994635582,0.2436999976634979,0.6244999766349792,0.5625,0.4943000078201294,0.35420000553131104,0.2432000041007996,0.5634999871253967,0.5177000164985657,0.4948999881744385,0.4699999988079071,0.4489000141620636,0.6164000034332275,0.5576000213623047,0.4914000034332275,0.487500011920929,0.4199000000953674,0.6273000240325928,0.5430999994277954,0.4753000140190125,0.2734000086784363,0.1476999968290329,0.5368999838829039,0.4584000110626221,0.6395999789237976,0.5734999775886536,0.5013999938964844,0.5733000040054321,0.4954000115394592,0.36149999499320973,0.305400013923645,0.2395000010728836,0.6140999794006348,0.496399998664856,0.5123000144958496,0.4742999970912933,0.4056000113487244,0.6513000130653381,0.6208999752998352,0.5590000152587891,0.6096000075340271,0.5471000075340271,0.5751000046730042,0.4674000144004822,0.42680001258850103,0.33889999985694885,0.27169999480247503,0.5993000268936157,0.5954999923706055,0.5697000026702881,0.544700026512146,0.4943999946117401,0.5116515755653381,,,,,,
150,AugmixLoss,0.3184000253677368,49.0,,global_weight,augmix,4.0,19550,0.6801999807357788,0.6704000234603882,0.6563000082969666,0.6370999813079834,0.5831999778747559,0.6815999746322632,0.6680999994277954,0.6222000122070312,0.5745999813079834,0.4907999932765961,0.2305999994277954,0.6797000169754028,0.6696000099182129,0.6464999914169312,0.5983999967575073,0.5063999891281128,0.6151000261306763,0.6258000135421753,0.6007999777793884,0.522599995136261,0.4329000115394592,0.6730999946594238,0.6347000002861023,0.5910999774932861,0.5188999772071838,0.3260999917984009,0.616100013256073,0.5522999763488771,0.4555000066757202,0.44040000438690186,0.3569000065326691,0.6801999807357788,0.6452000141143799,0.6068999767303467,0.5618000030517578,0.44780001044273376,0.5353999733924866,0.4111000001430512,0.3181999921798706,0.27889999747276306,0.24240000545978546,0.3283999860286713,0.3348999917507172,0.3531000018119812,0.2549000084400177,0.2671999931335449,0.6406000256538391,0.5863000154495239,0.5231999754905701,0.3835999965667725,0.24560000002384186,0.5791000127792358,0.5315999984741211,0.5206999778747559,0.4921000003814697,0.4686999917030335,0.6334999799728394,0.5774999856948853,0.5080000162124634,0.5151000022888184,0.4420999884605408,0.6435999870300293,0.579200029373169,0.5188000202178955,0.3253999948501587,0.16120000183582306,0.5519000291824341,0.4731999933719635,0.6534000039100647,0.5789999961853027,0.5031999945640564,0.5979999899864197,0.5302000045776367,0.4065999984741211,0.35179999470710754,0.2822999954223633,0.6319000124931335,0.5098999738693237,0.5317000150680542,0.4916999936103821,0.4348999857902527,0.6661999821662903,0.6328999996185303,0.5758000016212463,0.6287000179290771,0.5821999907493591,0.6068999767303467,0.5175999999046326,0.4727999866008759,0.3910999894142151,0.3231000006198883,0.623199999332428,0.6176000237464905,0.5934000015258789,0.5659000277519226,0.5169000029563904,0.4856557846069336,,,,,,
150,AugmixLoss,0.38450002670288086,49.0,,global_weight,standard,8.0,19550,0.6136000156402588,0.6068000197410583,0.5906999707221985,0.5692999958992004,0.5070000290870667,0.6154999732971191,0.5982000231742859,0.5242999792098999,0.4620000123977661,0.3727999925613403,0.1582999974489212,0.6118999719619751,0.5956000089645386,0.5667999982833862,0.5227000117301941,0.4352000057697296,0.5442000031471252,0.5533999800682068,0.5343999862670898,0.4641999900341034,0.3889000117778778,0.6044999957084656,0.5593000054359436,0.5167000293731691,0.4465999901294708,0.2728999853134155,0.5515999794006348,0.4797999858856201,0.37709999084472656,0.3664999902248383,0.2858000099658966,0.6121000051498413,0.565500020980835,0.5238999724388123,0.4767999947071075,0.3763000071048737,0.4451000094413757,0.319599986076355,0.2362000048160553,0.20090000331401825,0.17739999294281006,0.2757000029087067,0.2836999893188477,0.29330000281333923,0.2216999977827072,0.2257999926805496,0.5794000029563904,0.5173000097274779,0.4442000091075897,0.2976999878883362,0.1882999986410141,0.5263000130653381,0.488400012254715,0.4706999957561493,0.4532000124454498,0.4293000102043152,0.5645999908447266,0.5108000040054321,0.4451999962329865,0.4456000030040741,0.3799000084400177,0.5663999915122986,0.4708000123500824,0.4142999947071075,0.21960000693798065,0.11569999903440475,0.4866000115871429,0.4212999939918518,0.5856999754905701,0.5157999992370605,0.444599986076355,0.513700008392334,0.4433999955654144,0.3124000132083893,0.2639999985694885,0.20600000023841855,0.5723000168800354,0.44600000977516174,0.4645000100135803,0.423799991607666,0.3630000054836273,0.5990999937057495,0.5730999708175659,0.5123000144958496,0.5580000281333923,0.4948000013828278,0.5223000049591064,0.4230000078678131,0.3709999918937683,0.2944000065326691,0.2335000038146973,0.551800012588501,0.544700026512146,0.5167999863624573,0.4939999878406525,0.4462999999523163,0.5574631690979004,,,,,,
150,AugmixLoss,0.37529999017715454,49.0,,global_weight,augmix,8.0,19550,0.6226999759674072,0.6140999794006348,0.600600004196167,0.58160001039505,0.527400016784668,0.6247000098228455,0.6126000285148621,0.5515000224113464,0.5011000037193298,0.4189000129699707,0.19140000641345975,0.6205999851226807,0.6105999946594238,0.5853999853134155,0.5408999919891357,0.45010000467300415,0.5622000098228455,0.5690000057220459,0.5486999750137329,0.4787999987602234,0.4081000089645386,0.6123999953269958,0.578000009059906,0.5289000272750854,0.46189999580383295,0.2867999970912933,0.5600000023841858,0.4921000003814697,0.3946999907493591,0.3855000138282776,0.3000999987125397,0.6204000115394592,0.5856999754905701,0.5461000204086304,0.4981000125408173,0.3968999981880188,0.4783999919891357,0.3641999959945679,0.274399995803833,0.2387000024318695,0.21289999783039093,0.2879000008106232,0.30309998989105225,0.3188000023365021,0.2299000024795532,0.23899999260902405,0.589900016784668,0.5383999943733215,0.4826000034809113,0.3574999868869781,0.24379999935626984,0.5343000292778015,0.4884999990463257,0.4754999876022339,0.44859999418258667,0.4293000102043152,0.5759999752044678,0.5278999805450441,0.4634999930858612,0.4616999924182892,0.3970000147819519,0.5856999754905701,0.5049999952316284,0.4456999897956848,0.26280000805854803,0.13910000026226044,0.4821999967098236,0.41260001063346863,0.5939000248908997,0.5169000029563904,0.4469999969005585,0.5432000160217285,0.4805000126361847,0.35839998722076416,0.31769999861717224,0.2556999921798706,0.57669997215271,0.453000009059906,0.4812999963760376,0.43810001015663147,0.3828000128269196,0.607699990272522,0.5803999900817871,0.5162000060081482,0.5764999985694885,0.5230000019073486,0.5483000278472899,0.4683000147342682,0.4241000115871429,0.3497999906539917,0.2842999994754791,0.5680999755859375,0.5623000264167786,0.5394999980926514,0.512499988079071,0.4711999893188477,0.5366715788841248,,,,,,
150,AugmixLoss,0.49049997329711914,49.0,,global_weight,standard,16.0,19550,0.5077000260353088,0.4993000030517578,0.4830000102519989,0.4611000120639801,0.4097999930381775,0.5095000267028809,0.4889999926090241,0.415800005197525,0.35769999027252203,0.2721999883651733,0.10490000247955322,0.5063999891281128,0.4900000095367432,0.4584999978542328,0.4214999973773956,0.34040001034736633,0.4433000087738037,0.4490000009536743,0.4359000027179718,0.3844999969005585,0.3285000026226044,0.4943999946117401,0.4438999891281128,0.3971999883651733,0.3287000060081482,0.1907999962568283,0.4388999938964844,0.3768999874591827,0.29490000009536743,0.2858999967575073,0.22609999775886536,0.5063999891281128,0.4573000073432922,0.4180000126361847,0.37299999594688416,0.2922999858856201,0.35519999265670776,0.25600001215934753,0.1873999983072281,0.15929999947547913,0.13840000331401825,0.21860000491142276,0.2345000058412552,0.2440000027418137,0.1777999997138977,0.18490000069141388,0.4783999919891357,0.4255000054836273,0.367000013589859,0.2515000104904175,0.17229999601840973,0.4415000081062317,0.4135000109672545,0.401199996471405,0.38569998741149897,0.37049999833107,0.4638000130653381,0.4122999906539917,0.3637000024318695,0.3648999929428101,0.308899998664856,0.4702000021934509,0.3851999938488007,0.3181999921798706,0.17080000042915344,0.09939999878406523,0.3788999915122986,0.3271999955177307,0.4814000129699707,0.4032999873161316,0.3377000093460083,0.414900004863739,0.3528999984264374,0.240899994969368,0.2034000009298325,0.16060000658035278,0.4625000059604645,0.3535999953746796,0.3625999987125397,0.33869999647140503,0.2802000045776367,0.5019999742507935,0.4767999947071075,0.4137000143527985,0.4731000065803528,0.4226000010967255,0.42080000042915344,0.3319000005722046,0.2892000079154968,0.22020000219345093,0.17260000109672546,0.4476999938488007,0.4343000054359436,0.4117000102996826,0.388700008392334,0.35580000281333923,0.6435400247573853,,,,,,
150,AugmixLoss,0.47140002250671387,49.0,,global_weight,augmix,16.0,19550,0.5278999805450441,0.5199999809265137,0.5056999921798706,0.4824999868869782,0.4260999858379364,0.5285999774932861,0.5151000022888184,0.441100001335144,0.3880999982357025,0.3066000044345856,0.1272999942302704,0.5246000289916992,0.5108000040054321,0.480100005865097,0.4399000108242035,0.35740000009536743,0.4654000103473663,0.4729999899864197,0.448500007390976,0.39230000972747797,0.329800009727478,0.5184000134468079,0.47560000419616705,0.4223000109195709,0.3528999984264374,0.19580000638961792,0.4562999904155731,0.38940000534057617,0.3052000105381012,0.29249998927116394,0.21950000524520874,0.5246000289916992,0.477400004863739,0.4332999885082245,0.3946999907493591,0.3075999915599823,0.3718000054359436,0.2615000009536743,0.19179999828338626,0.1655000001192093,0.14890000224113464,0.20679999887943268,0.2214999943971634,0.23149999976158145,0.16850000619888306,0.17800000309944153,0.5049999952316284,0.4584999978542328,0.4065000116825104,0.2994000017642975,0.2062000036239624,0.4566000103950501,0.4242999851703644,0.4158999919891357,0.4034000039100647,0.3837999999523163,0.4794000089168549,0.4244000017642975,0.3580000102519989,0.3630999922752381,0.3068000078201294,0.4934000074863434,0.4237000048160553,0.3662999868392944,0.2037000060081482,0.10890000313520433,0.3934000134468079,0.3411000072956085,0.4936999976634979,0.4214999973773956,0.3544000089168549,0.4305000007152557,0.3693000078201294,0.2583000063896179,0.2207999974489212,0.17880000174045566,0.4794000089168549,0.35839998722076416,0.3783000111579895,0.34369999170303345,0.28690001368522644,0.5202999711036682,0.4968000054359436,0.4415000081062317,0.4853000044822693,0.4372999966144562,0.4449000060558319,0.35830000042915344,0.3215999901294708,0.25769999623298645,0.2035000026226044,0.4684000015258789,0.4632999897003174,0.4379999935626984,0.4160999953746796,0.3779999911785126,0.6263126134872437,,,,,,
150,AugmixLoss,0.7811000049114227,49.0,,global_weight,standard,32.0,19550,0.21220000088214874,0.20360000431537628,0.1875,0.16660000383853912,0.13359999656677246,0.21889999508857727,0.18850000202655792,0.12489999830722807,0.09290000051259996,0.0674000009894371,0.03559999912977218,0.21150000393390656,0.19480000436306,0.17159999907016754,0.148499995470047,0.1080000028014183,0.18369999527931213,0.18119999766349792,0.1694999933242798,0.15600000321865082,0.14730000495910645,0.19779999554157254,0.14589999616146088,0.10660000145435332,0.07360000163316728,0.035500001162290566,0.16660000383853912,0.1363999992609024,0.09889999777078627,0.098300002515316,0.07660000026226044,0.2108000069856644,0.17000000178813934,0.1459999978542328,0.125,0.09179999679327012,0.12549999356269834,0.09040000289678574,0.06729999929666519,0.0584000013768673,0.05510000139474869,0.12150000035762787,0.12680000066757202,0.13199999928474426,0.11270000040531157,0.11559999734163286,0.192100003361702,0.1559000015258789,0.11909999698400495,0.07450000196695328,0.05559999868273735,0.19779999554157254,0.19099999964237213,0.19099999964237213,0.18549999594688416,0.1852000057697296,0.1784999966621399,0.1437000036239624,0.11389999836683272,0.11389999836683272,0.0948999971151352,0.21320000290870667,0.2044000029563904,0.19830000400543213,0.17520000040531158,0.1430000066757202,0.12460000067949295,0.10159999877214433,0.19280000030994413,0.14429999887943268,0.10679999738931656,0.1550000011920929,0.12319999933242798,0.08569999784231186,0.07689999788999557,0.06340000033378601,0.19439999759197235,0.14380000531673431,0.15080000460147858,0.13009999692440033,0.10450000315904616,0.211899995803833,0.19629999995231628,0.16339999437332153,0.2054000049829483,0.1776999980211258,0.1589999943971634,0.12049999833106995,0.1046999990940094,0.07880000025033951,0.06610000133514404,0.1746000051498413,0.16329999268054962,0.1509000062942505,0.14110000431537628,0.12479999661445618,0.8607041835784912,,,,,,
150,AugmixLoss,0.7712000012397766,49.0,,global_weight,augmix,32.0,19550,0.22339999675750727,0.20890000462532046,0.19380000233650208,0.1761000007390976,0.13689999282360074,0.2287999987602234,0.2005999982357025,0.1266999989748001,0.094200000166893,0.06430000066757202,0.03180000185966492,0.22609999775886536,0.20919999480247495,0.18639999628067014,0.1671999990940094,0.125,0.1897999942302704,0.19359999895095825,0.18050000071525574,0.17139999568462372,0.1607999950647354,0.2117000073194504,0.16249999403953552,0.1200999990105629,0.08720000088214874,0.049699999392032616,0.1808999925851822,0.14509999752044678,0.11569999903440475,0.11010000109672546,0.09059999883174896,0.22599999606609344,0.18490000069141388,0.16200000047683716,0.14069999754428866,0.10620000213384627,0.163100004196167,0.12520000338554382,0.09600000083446504,0.09000000357627869,0.07800000160932541,0.14309999346733093,0.14839999377727509,0.149399995803833,0.1264999955892563,0.13130000233650208,0.20280000567436215,0.1670999974012375,0.13120000064373016,0.09109999984502792,0.06589999794960022,0.21140000224113464,0.20149999856948853,0.2004999965429306,0.19900000095367432,0.1949000060558319,0.18860000371932986,0.16089999675750732,0.1339000016450882,0.13220000267028809,0.10899999737739564,0.22599999606609344,0.2158000022172928,0.2094999998807907,0.14980000257492065,0.16529999673366547,0.14640000462532046,0.1242000013589859,0.20419999957084656,0.15369999408721924,0.121799997985363,0.18539999425411224,0.1591999977827072,0.11749999970197678,0.10520000010728836,0.08100000023841858,0.19740000367164606,0.14270000159740448,0.1462000012397766,0.13089999556541446,0.10639999806880952,0.2223999947309494,0.19769999384880066,0.16249999403953552,0.19380000233650208,0.15790000557899475,0.1915999948978424,0.15230000019073486,0.13439999520778656,0.10360000282526016,0.08309999853372574,0.1890999972820282,0.17880000174045566,0.164000004529953,0.15360000729560852,0.13819999992847445,0.8472347259521484,,,,,,
