,Amda,Augmix,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
270,False,False,False,90,14.78000283241272,57.56453275680542,72.23228216171265,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/4,0.9,L¹ Filter Globally,10.000000000000002,1.73,False,False,False,,,,473068696.0,3.339436,0.2460271120071411,0.39090909090909093,0.33612219691677653,0.17685944570135748,0.05655444051036014,0.3087887465953827,27,0.11650986969470978,30,0.10176971554756165,28,0.06459518522024155,0,0.24974074959754944,0,0.14898301661014557,29,0.10099054872989655,27,0.24974074959754944,0,0.30119588971138,29,0.297272652387619,0,0.08375725150108337,30,0.297272652387619,0,0.5853447914123535,0,0.20434358716011047,29,0.026174021884799004,83,0.5853447914123535,0,0.7994493842124939,89,0.07546748220920563,16,0.014444578438997269,14,0.0008684161584824324,0,Calibrated Scaled Up
270,False,False,False,90,10.240000486373901,49.01787042617798,66.37997925281525,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/3,0.7,L¹ Filter Globally,3.333333333333333,1.73,False,False,False,,,,843881545.0,10.023339,0.6714582443237305,0.6045454545454545,0.5839460317439991,0.4340356334841629,0.23996384500040405,0.4576488733291626,0,0.07928640395402908,11,0.054487310349941254,27,0.4576488733291626,0,0.23473992943763733,29,0.14672499895095825,0,0.06754487752914429,30,0.14672499895095825,0,0.7244534492492676,29,0.0677095279097557,30,0.034464165568351746,0,0.034464165568351746,0,0.6735726594924927,29,0.0754503682255745,0,0.04751937836408615,30,0.0754503682255745,0,0.9205313324928284,89,0.024370957165956497,79,0.020964566618204117,16,0.00023822156072128564,0,Calibrated Scaled Up
270,False,False,False,90,10.339999198913574,47.467470169067376,65.70098400115967,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/2,0.5,L¹ Filter Globally,2.0,1.73,False,False,False,,,,1122644538.0,16.712296,1.1531084775924683,0.7386363636363636,0.7333550176174137,0.6235152714932126,0.4479803581779237,0.8518677949905396,0,0.05323450267314911,11,0.026273515075445175,2,0.8518677949905396,0,0.514767050743103,0,0.14402076601982117,96,0.06729292124509811,30,0.514767050743103,0,0.3247838020324707,29,0.2656455338001251,0,0.10087691992521286,30,0.2656455338001251,0,0.3537377715110779,29,0.27675893902778625,0,0.07999308407306671,83,0.27675893902778625,0,0.3958618938922882,89,0.0918896347284317,62,0.047887880355119705,44,0.0012377522652968764,0,Calibrated Scaled Up
270,False,False,False,90,10.199999809265137,46.87039852142334,66.29591286182404,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/1,0.25,L¹ Filter Globally,1.3333333333333333,1.73,False,False,False,,,,1426307215.0,25.069504,1.14249587059021,0.8704545454545455,0.8744185421117974,0.8207720588235294,0.7211898027736791,0.6625111103057861,0,0.12178025394678116,31,0.06974615901708603,30,0.6625111103057861,0,0.29371511936187744,0,0.23184290528297424,30,0.17740538716316223,29,0.29371511936187744,0,0.44235798716545105,29,0.12051911652088165,0,0.10087127983570099,30,0.12051911652088165,0,0.3261963129043579,29,0.18295720219612122,0,0.05430871248245239,18,0.18295720219612122,0,0.3268396258354187,89,0.1840212047100067,79,0.06809954345226288,38,0.0002423791156616062,0,Calibrated Scaled Up
270,False,False,False,90,10.159999132156372,47.41573333740234,66.47697985172272,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/0,0.1,L¹ Filter Globally,1.1111111111111112,1.73,False,False,False,,,,1602911288.0,30.090846,1.2188106775283813,0.95,0.9512827129088294,0.9291572398190046,0.8883591476438892,0.7184680104255676,30,0.24706244468688965,0,0.007388593629002571,2,0.24706244468688965,0,0.669395923614502,30,0.17629767954349518,0,0.06839627027511597,29,0.17629767954349518,0,0.5383028388023376,30,0.3010662794113159,29,0.0675135999917984,0,0.0675135999917984,0,0.36415785551071167,29,0.3239182233810425,30,0.14618423581123352,0,0.14618423581123352,0,0.9109612107276917,89,0.021690765395760536,46,0.010409923270344734,2,0.0007313829846680164,0,Calibrated Scaled Up
270,False,False,False,90,10.780000686645508,48.20373058319092,67.31764078140259,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/unpruned,,,,1.73,False,False,False,,,,1717798200.0,33.42918,1.2470424175262451,1.0,1.0,1.0,1.0,0.33674973249435425,30,0.31419041752815247,27,0.11672527343034744,0,0.11672527343034744,0,0.3719499111175537,30,0.14549240469932556,27,0.13739578425884247,29,0.07118512690067291,0,0.4792000651359558,29,0.20116277039051056,30,0.0710723027586937,27,0.0183248333632946,0,0.33802881836891174,29,0.21252098679542542,18,0.1007378026843071,83,0.02900632470846176,0,0.36591836810112,89,0.12579454481601715,10,0.056228362023830414,13,0.004851918201893568,0,Calibrated Scaled Up
