,Unnamed: 0,Amda,Augmix,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
1,270,False,False,False,90,17.059999704360962,60.70079803466797,73.60320687294006,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/pruned_standard/4,0.9,L¹ Filter Globally,10.000000000000002,1,True,True,False,,,,513403180.0,3.345388,1.1648684740066528,0.3854166666666667,0.30908203125,0.1689453125,0.0562235514322916,0.2571398615837097,28,0.2135166227817535,27,0.1278848201036453,30,0.1069812625646591,0,0.1517727226018905,28,0.1513125598430633,11,0.1199612766504287,30,0.1040760576725006,0,0.4294777810573578,29,0.1364031732082367,30,0.0819773450493812,83,0.0597793012857437,0,0.5775690078735352,29,0.157097190618515,0,0.0546006150543689,30,0.157097190618515,0,0.2815726995468139,16,0.178667351603508,89,0.1691731363534927,29,0.0014250797685235,0,Prune-Train jointly
2,270,False,False,False,90,11.86000108718872,50.99012851715088,66.994309425354,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/pruned_standard/3,0.7,L¹ Filter Globally,3.333333333333333,1,True,True,False,,,,901515564.0,10.09086,0.015076994895935,0.6106770833333334,0.5718180338541666,0.4357096354166667,0.2371927897135416,0.5407599806785583,30,0.1032449230551719,0,0.1000335812568664,28,0.1032449230551719,0,0.2226288318634033,30,0.1020741835236549,28,0.0675839558243751,0,0.0675839558243751,0,0.1932737082242965,0,0.1485001146793365,30,0.1045547425746917,29,0.1932737082242965,0,0.3356750905513763,0,0.1064256727695465,83,0.0933878272771835,29,0.3356750905513763,0,0.5266638994216919,89,0.0777448490262031,15,0.0449601486325264,48,0.0039335046894848,0,Prune-Train jointly
3,270,False,False,False,90,10.039997100830078,47.62213230133056,65.77858328819275,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/pruned_standard/2,0.5,L¹ Filter Globally,2.0,1,True,True,False,,,,1190799660.0,16.828332,0.2047359943389892,0.7434895833333334,0.7328287760416666,0.6393025716145834,0.441619873046875,0.3580545783042907,0,0.1810819059610366,31,0.1137067973613739,30,0.3580545783042907,0,0.2630302906036377,0,0.1459401249885559,30,0.1377054899930954,28,0.2630302906036377,0,0.2736265957355499,29,0.2040350288152694,30,0.1326215714216232,0,0.1326215714216232,0,0.4878882467746734,29,0.1277101784944534,0,0.0578694343566894,27,0.1277101784944534,0,0.24154894053936,89,0.0788080915808677,13,0.0471541173756122,15,0.0061360048130154,0,Prune-Train jointly
4,270,False,False,False,90,10.019999742507936,46.85359597206116,65.56518375873566,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/pruned_standard/1,0.25,L¹ Filter Globally,1.3333333333333333,1,True,True,False,,,,1494817068.0,25.261932,0.0586450099945068,0.8645833333333334,0.8807779947916666,0.83544921875,0.7163289388020834,0.3163564205169678,28,0.1936086416244506,0,0.107255607843399,27,0.1936086416244506,0,0.2857924401760101,0,0.1120100170373916,27,0.0727254450321197,28,0.2857924401760101,0,0.3909250497817993,0,0.309312641620636,29,0.0549146272242069,30,0.3909250497817993,0,0.3920722603797912,29,0.3653823733329773,0,0.0460920892655849,21,0.3653823733329773,0,0.6700406670570374,89,0.0240907166153192,13,0.0223230421543121,14,0.0042510437779128,0,Prune-Train jointly
5,270,False,False,False,90,9.25999879837036,46.33066654205322,64.9508535861969,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/pruned_standard/0,0.1,L¹ Filter Globally,1.1111111111111112,1,True,True,False,,,,1661425964.0,30.319724,0.3929227590560913,0.9270833333333334,0.953125,0.93646240234375,0.8864339192708334,0.1780157387256622,0,0.1614514887332916,30,0.1251588463783264,28,0.1780157387256622,0,0.2303531318902969,27,0.2262115776538849,0,0.1178110465407371,28,0.2262115776538849,0,0.4223703444004059,0,0.152424931526184,27,0.1176913306117057,29,0.4223703444004059,0,0.3243890106678009,0,0.2298347055912017,29,0.1640866696834564,18,0.3243890106678009,0,0.3927485048770904,89,0.1551509499549865,13,0.0628295764327049,44,0.0013410142855718,0,Prune-Train jointly
0,270,False,False,False,90,10.29999852180481,47.75386452674866,66.36057794094086,StandardLoss,resnet18,/misc/lmbraid19/agnihotr/agnihotr-ensemble/together_second/resnet18/standard,0.0,Global Weight,1.0,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/random_init_nets/resnet18/network1/checkpoint/initial.ckpt,/work/dlclarge1/agnihotr-ensemble/random_init_nets/resnet18/network2/checkpoint/initial.ckpt,/work/dlclarge1/agnihotr-ensemble/random_init_nets/resnet18/network3/checkpoint/initial.ckpt,1784641836.0,33.683436,1.22298002243042,1.0,1.0,1.0,1.0,0.6925162076950073,0,0.1412746906280517,30,0.0298969466239213,89,0.6925162076950073,0,0.6469470858573914,0,0.1502114683389663,11,0.0551088824868202,30,0.6469470858573914,0,0.5806993246078491,29,0.2023465633392334,0,0.1269514858722686,30,0.2023465633392334,0,0.9663375616073608,29,0.0139998635277152,0,0.0086324969306588,30,0.0139998635277152,0,0.4951643645763397,89,0.1000879183411598,13,0.0505048185586929,15,0.0041151656769216,0,Prune-Train jointly
