,group,method,ratio,test_acc_brightness_1,test_acc_brightness_2,test_acc_brightness_3,test_acc_brightness_4,test_acc_brightness_5,test_acc_clean,test_acc_contrast_1,test_acc_contrast_2,test_acc_contrast_3,test_acc_contrast_4,test_acc_contrast_5,test_acc_defocus_blur_1,test_acc_defocus_blur_2,test_acc_defocus_blur_3,test_acc_defocus_blur_4,test_acc_defocus_blur_5,test_acc_elastic_transform_1,test_acc_elastic_transform_2,test_acc_elastic_transform_3,test_acc_elastic_transform_4,test_acc_elastic_transform_5,test_acc_fog_1,test_acc_fog_2,test_acc_fog_3,test_acc_fog_4,test_acc_fog_5,test_acc_frost_1,test_acc_frost_2,test_acc_frost_3,test_acc_frost_4,test_acc_frost_5,test_acc_gaussian_blur_1,test_acc_gaussian_blur_2,test_acc_gaussian_blur_3,test_acc_gaussian_blur_4,test_acc_gaussian_blur_5,test_acc_gaussian_noise_1,test_acc_gaussian_noise_2,test_acc_gaussian_noise_3,test_acc_gaussian_noise_4,test_acc_gaussian_noise_5,test_acc_glass_blur_1,test_acc_glass_blur_2,test_acc_glass_blur_3,test_acc_glass_blur_4,test_acc_glass_blur_5,test_acc_impulse_noise_1,test_acc_impulse_noise_2,test_acc_impulse_noise_3,test_acc_impulse_noise_4,test_acc_impulse_noise_5,test_acc_jpeg_compression_1,test_acc_jpeg_compression_2,test_acc_jpeg_compression_3,test_acc_jpeg_compression_4,test_acc_jpeg_compression_5,test_acc_motion_blur_1,test_acc_motion_blur_2,test_acc_motion_blur_3,test_acc_motion_blur_4,test_acc_motion_blur_5,test_acc_pixelate_1,test_acc_pixelate_2,test_acc_pixelate_3,test_acc_pixelate_4,test_acc_pixelate_5,test_acc_saturate_1,test_acc_saturate_2,test_acc_saturate_3,test_acc_saturate_4,test_acc_saturate_5,test_acc_shot_noise_1,test_acc_shot_noise_2,test_acc_shot_noise_3,test_acc_shot_noise_4,test_acc_shot_noise_5,test_acc_snow_1,test_acc_snow_2,test_acc_snow_3,test_acc_snow_4,test_acc_snow_5,test_acc_spatter_1,test_acc_spatter_2,test_acc_spatter_3,test_acc_spatter_4,test_acc_spatter_5,test_acc_speckle_noise_1,test_acc_speckle_noise_2,test_acc_speckle_noise_3,test_acc_speckle_noise_4,test_acc_speckle_noise_5,test_acc_zoom_blur_1,test_acc_zoom_blur_2,test_acc_zoom_blur_3,test_acc_zoom_blur_4,test_acc_zoom_blur_5,clean_error,mCE
105,augmix,global_weight,15145018.0,0.6934000253677368,0.6872000098228455,0.6758000254631042,0.6582000255584717,0.6093999743461609,0.6969000101089478,0.6844000220298767,0.6464999914169312,0.6032999753952026,0.5297999978065491,0.26249998807907104,0.6933000087738037,0.6840000152587891,0.6633999943733215,0.6363999843597412,0.5601999759674072,0.638700008392334,0.6484000086784363,0.6319000124931335,0.5759000182151794,0.5123000144958496,0.6876000165939331,0.6532999873161316,0.6075000166893005,0.5299999713897705,0.3391000032424927,0.6509000062942505,0.6037999987602234,0.5224000215530396,0.5131000280380249,0.44690001010894775,0.6919000148773193,0.6633999943733215,0.6369000077247621,0.6047000288963318,0.5202999711036682,0.6046000123023987,0.5149999856948853,0.4305999875068665,0.3964000046253204,0.3522999882698059,0.3982999920845032,0.4074999988079071,0.4296999871730805,0.3034999966621399,0.32589998841285706,0.616100013256073,0.5324000120162964,0.4492000043392181,0.3086000084877014,0.20160000026226044,0.630299985408783,0.595300018787384,0.5864999890327454,0.5673999786376953,0.5475999712944031,0.6628000140190125,0.6190000176429749,0.5673999786376953,0.5680000185966492,0.5084999799728394,0.6758999824523926,0.6499000191688538,0.633400022983551,0.5494999885559082,0.4255999922752381,0.5697000026702881,0.48930001258850103,0.6722000241279602,0.6061000227928162,0.5364999771118164,0.6481000185012817,0.6103000044822693,0.5029000043869019,0.4598000049591065,0.3944000005722046,0.6442000269889832,0.5587000250816345,0.5591999888420105,0.5329999923706055,0.4981000125408173,0.6690000295639038,0.6119999885559082,0.5501000285148621,0.6157000064849854,0.5382000207901001,0.6543999910354614,0.5925999879837036,0.5598999857902527,0.4828000068664551,0.41220000386238104,0.6553000211715698,0.6506999731063843,0.631600022315979,0.6100999712944031,0.5722000002861023,0.30309998989105225,0.43946041399613023
105,standard,global_weight,15145018.0,0.6861000061035156,0.6744999885559082,0.6607999801635742,0.6380000114440918,0.5770000219345093,0.6873999834060669,0.6657999753952026,0.5791000127792358,0.5026999711990356,0.3743000030517578,0.12150000035762787,0.6811000108718872,0.6503000259399414,0.574999988079071,0.4898999929428101,0.3255000114440918,0.6033999919891357,0.6065999865531921,0.5558000206947327,0.5113000273704529,0.4781000018119812,0.673799991607666,0.6280999779701233,0.5717999935150146,0.4972000122070313,0.3050999939441681,0.6173999905586243,0.5400000214576721,0.4438000023365021,0.4296999871730805,0.34769999980926514,0.6811000108718872,0.5716999769210815,0.4853000044822693,0.4032000005245209,0.26840001344680786,0.4643999934196472,0.29829999804496765,0.18780000507831573,0.14650000631809235,0.11879999935626985,0.2536999881267548,0.26440000534057617,0.3273000121116638,0.18000000715255735,0.23019999265670776,0.4248000085353851,0.24230000376701355,0.15710000693798065,0.08389999717473984,0.050799999386072166,0.6053000092506409,0.5515999794006348,0.5333999991416931,0.5098999738693237,0.4769999980926514,0.6158999800682068,0.5393000245094299,0.4566999971866608,0.4603999853134155,0.3901999890804291,0.6693000197410583,0.640500009059906,0.6169999837875366,0.5245000123977661,0.375900000333786,0.5428000092506409,0.4553999900817871,0.65829998254776,0.5760999917984009,0.481799989938736,0.5569999814033508,0.44040000438690186,0.24869999289512634,0.195700004696846,0.13279999792575836,0.5914999842643738,0.4742000102996826,0.4966999888420105,0.4772999882698059,0.4325999915599823,0.6269999742507935,0.5320000052452087,0.4589999914169312,0.5013999938964844,0.3598000109195709,0.5570999979972839,0.3804000020027161,0.31349998712539673,0.20170000195503235,0.1339000016450882,0.5859000086784363,0.5529000163078308,0.5069000124931335,0.4553999900817871,0.39250001311302185,0.3126000165939331,0.5434750011578824
105,augmix,global_weight,25451394.0,0.7139000296592712,0.7082999944686891,0.6985999941825867,0.6818000078201294,0.6353999972343445,0.7163000106811523,0.7062000036239624,0.6651999950408936,0.6294999718666077,0.5630999803543091,0.3127999901771545,0.7124000191688538,0.701200008392334,0.6843000054359436,0.6571999788284302,0.5888000130653381,0.6592000126838684,0.6657999753952026,0.6521000266075134,0.5993999838829039,0.5307999849319458,0.7078999876976013,0.6697999835014343,0.6248999834060669,0.5421000123023987,0.3492999970912933,0.6728000044822693,0.6269999742507935,0.5512999892234802,0.5400999784469604,0.4672999978065491,0.7120000123977661,0.6837999820709229,0.6614000201225281,0.6291000247001648,0.5501000285148621,0.6438000202178955,0.5622000098228455,0.4805000126361847,0.4401000142097473,0.4013999998569489,0.4334000051021576,0.4424999952316284,0.458299994468689,0.3276999890804291,0.3495000004768372,0.6380000114440918,0.5612000226974487,0.4790999889373779,0.3355999886989593,0.2337000072002411,0.6546000242233276,0.6238999962806702,0.6079999804496765,0.5920000076293945,0.5748999714851379,0.682200014591217,0.6450999975204468,0.5924000144004822,0.5978000164031982,0.5393999814987183,0.7005000114440918,0.6801999807357788,0.6657999753952026,0.5960000157356262,0.4896000027656555,0.592199981212616,0.5103999972343445,0.6920999884605408,0.6297000050544739,0.5598000288009644,0.6775000095367432,0.6420000195503235,0.5482000112533569,0.5073000192642212,0.4420999884605408,0.6676999926567078,0.5875999927520752,0.5806999802589417,0.5496000051498413,0.5238000154495239,0.6891999840736389,0.6401000022888184,0.5734000205993652,0.6419000029563904,0.5694000124931335,0.6822999715805054,0.6298999786376953,0.5958999991416931,0.5296000242233276,0.4562000036239624,0.6743000149726868,0.6715999841690063,0.6528000235557556,0.6301000118255615,0.5931000113487244,0.28369998931884766,0.41207187405476964
105,standard,global_weight,25451394.0,0.6991000175476074,0.689300000667572,0.671500027179718,0.6463000178337097,0.5767999887466431,0.7021999955177307,0.6823999881744385,0.5885000228881836,0.5048999786376953,0.375,0.1256999969482422,0.6995999813079834,0.6650999784469604,0.5946000218391418,0.5102000236511229,0.3397000133991241,0.6173999905586243,0.6230000257492065,0.5759000182151794,0.5267999768257141,0.4889000058174133,0.6894000172615051,0.6419000029563904,0.5909000039100647,0.5048999786376953,0.3192000091075897,0.6348999738693237,0.5605999827384949,0.460099995136261,0.4499000012874603,0.3677999973297119,0.6998000144958496,0.5906000137329102,0.5024999976158142,0.4214000105857849,0.28119999170303345,0.4995000064373016,0.3181999921798706,0.20469999313354487,0.16259999573230746,0.13439999520778656,0.2698999941349029,0.28029999136924744,0.3350000083446503,0.1915999948978424,0.2430000007152557,0.4266999959945679,0.2451999932527542,0.15309999883174896,0.08590000122785567,0.052400000393390656,0.625,0.5776000022888184,0.5577999949455261,0.5335999727249146,0.5019999742507935,0.6355000138282776,0.5511000156402588,0.4657999873161316,0.4665000140666962,0.3950000107288361,0.6851000189781189,0.6596999764442444,0.6414999961853027,0.5651999711990356,0.4248000085353851,0.5684999823570251,0.4812999963760376,0.6705999970436096,0.5863000154495239,0.4934999942779541,0.5849999785423279,0.4763999879360199,0.27140000462532043,0.21480000019073486,0.1462000012397766,0.6061000227928162,0.4803000092506409,0.5077000260353088,0.48930001258850103,0.43810001015663147,0.6363000273704529,0.5342000126838684,0.4666000008583069,0.5073999762535095,0.3463000059127808,0.5813999772071838,0.4169000089168549,0.34130001068115234,0.22190000116825104,0.1395999938249588,0.6047000288963318,0.5706999897956848,0.5254999995231628,0.47650000452995295,0.4108999967575073,0.2978000044822693,0.5280999994526308
105,augmix,global_weight,41601243.0,0.7161999940872192,0.7111999988555908,0.7009999752044678,0.6868000030517578,0.6434999704360962,0.7185999751091003,0.7062000036239624,0.6650999784469604,0.6256999969482422,0.5565999746322632,0.3127999901771545,0.7174999713897705,0.7067000269889832,0.6919000148773193,0.6651999950408936,0.597100019454956,0.6610999703407288,0.6668000221252441,0.6570000052452087,0.6019999980926514,0.5360000133514404,0.7109000086784363,0.6721000075340271,0.623199999332428,0.5368999838829039,0.34369999170303345,0.6808000206947327,0.6327000260353088,0.5554999709129333,0.5446000099182129,0.4742000102996826,0.717199981212616,0.6909999847412109,0.6635000109672546,0.637499988079071,0.5580000281333923,0.6554999947547913,0.5827999711036682,0.4975000023841858,0.4593999981880188,0.41999998688697815,0.4535999894142151,0.4603999853134155,0.4711999893188477,0.34470000863075256,0.3632000088691712,0.6503000259399414,0.5760999917984009,0.49549999833107,0.3565999865531921,0.2558000087738037,0.6660000085830688,0.633400022983551,0.6194999814033508,0.605400025844574,0.5827000141143799,0.6902999877929688,0.6571999788284302,0.6021000146865845,0.6050999760627747,0.5503000020980835,0.7074000239372253,0.6861000061035156,0.6741999983787537,0.6128000020980835,0.4939000010490418,0.6011000275611877,0.5221999883651733,0.6962000131607056,0.6453999876976013,0.5834000110626221,0.6866000294685364,0.6571999788284302,0.5712000131607056,0.5274999737739563,0.4602999985218048,0.6743000149726868,0.597000002861023,0.5911999940872192,0.5573999881744385,0.5282999873161316,0.6895999908447266,0.6453999876976013,0.5784000158309937,0.6385999917984009,0.569599986076355,0.6919999718666077,0.6402999758720398,0.6147000193595886,0.5479999780654907,0.4824999868869782,0.6811000108718872,0.6762999892234802,0.6632999777793884,0.6455000042915344,0.6072999835014343,0.28140002489089966,0.40325312719990813
105,standard,global_weight,41601243.0,0.701200008392334,0.6924999952316284,0.6729999780654907,0.6498000025749207,0.5819000005722046,0.7075999975204468,0.6829000115394592,0.5874000191688538,0.5013999938964844,0.3644999861717224,0.11990000307559967,0.7006999850273132,0.666700005531311,0.5932000279426575,0.5101000070571899,0.3386000096797943,0.6248999834060669,0.6258999705314636,0.5810999870300293,0.5354999899864197,0.4990000128746033,0.6909000277519226,0.644599974155426,0.5899999737739563,0.5037999749183655,0.30730000138282776,0.6392999887466431,0.5577999949455261,0.4575000107288361,0.4408000111579895,0.36000001430511475,0.7002000212669373,0.5892999768257141,0.5023000240325928,0.4230000078678131,0.28519999980926514,0.5141999721527101,0.32899999618530273,0.2038999944925308,0.16040000319480896,0.124099999666214,0.2696000039577484,0.2782000005245209,0.3440999984741211,0.1873999983072281,0.2449000030755997,0.4384999871253967,0.24699999392032626,0.14970000088214874,0.07039999961853027,0.038499999791383736,0.6344000101089478,0.5859000086784363,0.5691999793052673,0.5432999730110168,0.5119000077247621,0.6344000101089478,0.5572999715805054,0.4706999957561493,0.4740000069141388,0.4025999903678894,0.6942999958992004,0.6692000031471252,0.6506000161170961,0.5867999792098999,0.4521999955177307,0.5720000267028809,0.4787000119686127,0.6786999702453613,0.5997999906539917,0.5056999921798706,0.6022999882698059,0.4957000017166138,0.27900001406669617,0.2069000005722046,0.13420000672340393,0.6126000285148621,0.4945000112056732,0.5184000134468079,0.494599997997284,0.4399999976158142,0.6467000246047974,0.5426999926567078,0.4747999906539917,0.5110999941825867,0.3479999899864197,0.6017000079154968,0.4287999868392944,0.3492999970912933,0.2134999930858612,0.12960000336170194,0.6057999730110168,0.5727000236511229,0.5246999859809875,0.4776999950408936,0.4154999852180481,0.2924000024795532,0.5247687513862427
105,augmix,global_weight,65783902.0,0.718500018119812,0.7129999995231628,0.7013999819755554,0.6883000135421753,0.6413000226020813,0.7182000279426575,0.7117999792098999,0.6711999773979187,0.630299985408783,0.5576000213623047,0.3014000058174133,0.7185999751091003,0.7074999809265137,0.6930999755859375,0.6682000160217285,0.5993000268936157,0.6643000245094299,0.6718000173568726,0.6588000059127808,0.6022999882698059,0.5354999899864197,0.7081000208854675,0.676800012588501,0.6269000172615051,0.5451999902725221,0.3486999869346619,0.6793000102043152,0.6345999836921692,0.5612999796867371,0.5534999966621399,0.484499990940094,0.7182000279426575,0.6894999742507935,0.6693000197410583,0.6388000249862671,0.5679000020027161,0.6550999879837036,0.5859000086784363,0.5146999955177307,0.4715000092983246,0.4356000125408173,0.4519000053405762,0.46279999613761896,0.472900003194809,0.34940001368522644,0.3650000095367432,0.6543999910354614,0.5781999826431274,0.4988000094890594,0.35830000042915344,0.2513000071048737,0.6646999716758728,0.6323999762535095,0.6176000237464905,0.6043999791145325,0.5821999907493591,0.6883000135421753,0.6556000113487244,0.607699990272522,0.6061999797821045,0.5554999709129333,0.7121999859809875,0.6890000104904175,0.6804999709129333,0.6226999759674072,0.5178999900817871,0.5996000170707703,0.5213000178337097,0.6977000236511229,0.6452000141143799,0.5821999907493591,0.6851000189781189,0.6575000286102295,0.5756999850273132,0.5389000177383423,0.4754999876022339,0.6758999824523926,0.5932000279426575,0.5871000289916992,0.557699978351593,0.5327000021934509,0.692300021648407,0.642300009727478,0.5770000219345093,0.6499999761581421,0.5788999795913696,0.6930000185966492,0.642799973487854,0.6158000230789185,0.5497999787330627,0.4896999895572662,0.6812999844551086,0.6773999929428101,0.6647999882698059,0.6430000066757202,0.6108999848365784,0.28179997205734253,0.40049999983360374
105,standard,global_weight,65783902.0,0.7074999809265137,0.6937000155448914,0.6786999702453613,0.6542999744415283,0.5802000164985657,0.7081000208854675,0.6894000172615051,0.5898000001907349,0.5023999810218811,0.3578999936580658,0.11100000143051147,0.7027999758720398,0.6650999784469604,0.5961999893188477,0.5110999941825867,0.3472999930381775,0.6295999884605408,0.6272000074386597,0.5875999927520752,0.5467000007629395,0.5048999786376953,0.6958000063896179,0.6517000198364258,0.588699996471405,0.5066999793052673,0.3016999959945679,0.6456000208854675,0.5666000247001648,0.4657999873161316,0.4548999965190888,0.3727999925613403,0.7024000287055969,0.5929999947547913,0.5062000155448914,0.4230000078678131,0.28760001063346863,0.5245000123977661,0.3319999873638153,0.2071000039577484,0.16259999573230746,0.1256999969482422,0.2804000079631805,0.2921999990940094,0.3585000038146973,0.20360000431537628,0.2549000084400177,0.4449000060558319,0.24549999833106995,0.1501999944448471,0.07079999893903732,0.04129999876022339,0.6348999738693237,0.5910999774932861,0.574999988079071,0.5505999922752379,0.5217999815940857,0.6371999979019165,0.5564000010490417,0.4740999937057495,0.4700999855995178,0.4027999937534332,0.6960999965667725,0.6704999804496765,0.660099983215332,0.5983999967575073,0.4616999924182892,0.5724999904632568,0.4866999983787537,0.6798999905586243,0.5974000096321106,0.5012000203132629,0.6083999872207642,0.5019000172615051,0.28119999170303345,0.21330000460147855,0.13729999959468842,0.6248999834060669,0.5041999816894531,0.5263000130653381,0.5048000216484071,0.451200008392334,0.6496999859809875,0.5543000102043152,0.4884999990463257,0.5213999748229979,0.362199991941452,0.6040999889373779,0.4388000071048737,0.3513000011444092,0.21570000052452087,0.13040000200271604,0.6047000288963318,0.5766000151634216,0.5309000015258789,0.4848000109195709,0.4201000034809113,0.29189997911453247,0.5200656266727794
105,augmix,global_weight,97586975.0,0.7178000211715698,0.7146999835968018,0.7034000158309937,0.6858999729156494,0.6394000053405762,0.7208999991416931,0.7106999754905701,0.6672999858856201,0.6248000264167786,0.5558000206947327,0.294299989938736,0.7167999744415283,0.7106000185012817,0.6923999786376953,0.667900025844574,0.5968000292778015,0.6632000207901001,0.6700999736785889,0.6593000292778015,0.6111000180244446,0.5439000129699707,0.7124000191688538,0.6758000254631042,0.6230000257492065,0.5429999828338623,0.34940001368522644,0.6840000152587891,0.6348999738693237,0.5648000240325928,0.5575000047683716,0.4864999949932098,0.717199981212616,0.692300021648407,0.669700026512146,0.6370999813079834,0.5568000078201294,0.6528000235557556,0.5835999846458435,0.5045999884605408,0.4623999893665314,0.4241000115871429,0.4499000012874603,0.4632999897003174,0.4824999868869782,0.35089999437332153,0.3659000098705292,0.6545000076293945,0.5824000239372253,0.4984000027179718,0.35179999470710754,0.2477000057697296,0.6686999797821045,0.6371999979019165,0.6220999956130981,0.6096000075340271,0.5902000069618225,0.6873999834060669,0.6538000106811523,0.6014000177383423,0.5993999838829039,0.5461000204086304,0.7113000154495239,0.692300021648407,0.6815999746322632,0.6183000206947327,0.5088000297546387,0.6044999957084656,0.5241000056266785,0.6948000192642212,0.63919997215271,0.5748999714851379,0.6855999827384949,0.6571999788284302,0.5692999958992004,0.527400016784668,0.4675000011920929,0.6783999800682068,0.602400004863739,0.5940999984741211,0.5559999942779541,0.5335000157356262,0.6998999714851379,0.6503999829292297,0.5813999772071838,0.6543999910354614,0.5892000198364258,0.6927000284194946,0.6442999839782715,0.6168000102043152,0.5460000038146973,0.4806999862194061,0.6837000250816345,0.6800000071525574,0.6665999889373779,0.6427000164985657,0.602400004863739,0.2791000008583069,0.40088958137979114
105,standard,global_weight,97586975.0,0.7075999975204468,0.6995000243186951,0.679099977016449,0.6554999947547913,0.5893999934196472,0.7084000110626221,0.6887000203132629,0.5934000015258789,0.512499988079071,0.3698999881744385,0.1143999993801117,0.7045999765396118,0.6690000295639038,0.5967000126838684,0.5133000016212463,0.34529998898506165,0.6297000050544739,0.6276999711990356,0.5857999920845032,0.5483000278472899,0.5113999843597412,0.6955000162124634,0.6520000100135803,0.5961999893188477,0.5103999972343445,0.3075000047683716,0.6445000171661377,0.5651000142097473,0.460099995136261,0.4440000057220459,0.3639999926090241,0.7042999863624573,0.5950999855995178,0.5062000155448914,0.4214999973773956,0.2919999957084656,0.5184999704360962,0.3267999887466431,0.2061000019311905,0.16290000081062314,0.12999999523162842,0.265500009059906,0.2773000001907349,0.3492999970912933,0.18299999833106995,0.2436999976634979,0.439300000667572,0.24250000715255735,0.1453000009059906,0.0697999969124794,0.04170000180602074,0.6377000212669373,0.5936999917030334,0.5720000267028809,0.5507000088691711,0.520799994468689,0.6392999887466431,0.5620999932289124,0.477400004863739,0.4758000075817108,0.4081999957561493,0.6951000094413757,0.6717000007629395,0.659500002861023,0.5978999733924866,0.4620999991893768,0.5723000168800354,0.488400012254715,0.6798999905586243,0.6039000153541565,0.5094000101089478,0.6050999760627747,0.4927999973297119,0.2775999903678894,0.21230000257492065,0.13760000467300415,0.6189000010490417,0.4893999993801117,0.5173000097274779,0.499099999666214,0.4474000036716461,0.6463999748229979,0.5450000166893005,0.4765999913215637,0.5131999850273132,0.35010001063346863,0.5993000268936157,0.42989999055862427,0.34470000863075256,0.21649999916553495,0.13210000097751615,0.6101999878883362,0.5755000114440918,0.531499981880188,0.483599990606308,0.42289999127388,0.29159998893737793,0.5212166667527829
