,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay
3,True,True,,True,30,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/hydra_double/2,,,,1.45,,,,,0.0002
270,False,False,,False,90,,,10.039997100830078,48.18800091743469,61.142006516456604,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/kd_l1_channels_resnet18/5,0.3,L¹ Filter,1.4285714285714286,1.0,,,SWSL ResNet50,,0.0002
174,False,False,,False,90,,,,,,0.01,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/at_kd_analysis/51,,,,1.0,,,AMDA ResNet50,,0.0001
540,False,False,,False,180,,,14.300000667572021,58.481597900390625,68.10010373592377,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/kd_uniform_resnet18_std/7,0.7,Not Listed!,3.333333333333333,1.0,,,SWSL ResNet50,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,17.43999719619751,37.21920251846313,59.07268524169922,0.077,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_5_mixture_0.9_lr_0.077_decay_7e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,7e-05
3,False,False,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-04-02/17-18-09,0.5,Global Weight,2.0,1.0,,,,,0.0002
300,False,True,,False,100,,,31.269997358322144,55.30957579612732,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.0_augmix_0.0/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
6,False,False,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-05/19-54-09,0.5,Global Weight,2.0,1.0,,,,,0.0002
300,False,True,,False,100,,,25.24999976158142,36.004316806793206,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.8_augmix_1.0/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,26.27999782562256,46.91706895828247,65.99844694137573,0.036,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_4_mixture_0.6_lr_0.036_decay_6e-05/finetune/3,,,80,1.0,KnowledgeDistill,True,AMDA ResNet50,,6e-05
300,False,True,,False,100,,,27.710002660751343,40.724319219589226,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_1.0_augmix_0.6/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.049997329711914,35.16716361045837,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.1_augmix_0.6/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,17.8600013256073,37.28240132331848,59.499481320381165,0.019,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.7_lr_0.019_decay_7e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,7e-05
300,False,True,,False,100,,,29.44999933242798,40.81052541732788,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.9/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,99.00000002235176,99.00000095367432,98.51267458871007,0.005,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_0_mixture_0.8_lr_0.005_decay_1e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,1e-05
300,False,True,,False,100,,,24.08999800682068,35.32578945159912,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.8/crd_0.8/kd_0.9/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
270,False,False,,False,90,,,14.999997615814209,57.61839747428894,70.57682275772095,0.01,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/at_kd_analysis/0,,,,1.0,,,AMDA ResNet50,,0.0001
300,False,True,,False,100,,,23.78000020980835,35.03242135047912,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.1/crd_0.7/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,12.940001487731934,28.722673654556267,54.22271192073822,0.033,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.1_lr_0.033_decay_5e-05/finetune/0,,,10,1.0,KnowledgeDistill,True,AMDA ResNet50,,5e-05
300,False,True,,False,100,,,24.699997901916504,35.41557788848877,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.2_augmix_0.6/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
90,True,True,,True,30,,,27.35999822616577,50.70452690124512,68.48810017108917,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_7_mixture_0.8_lr_0.039_decay_9e-05/2,,,,1.0,,,AMDA ResNet50,,9e-05
300,False,True,,False,100,,,24.559998512268066,36.15663051605224,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.8_augmix_0.2/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
0,False,False,,False,180,,,12.120002508163452,53.14292907714844,68.28116774559021,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/pruning/uniform_std/2,0.5,Not Listed!,2.0,1.0,,,,,0.0002
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/28,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
270,False,True,,False,90,,,11.59999966621399,41.040539741516106,58.96921753883362,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/augmix_resnet,,,,1.0,,,,,0.0002
270,False,True,,False,90,,,9.939998388290405,40.57733416557312,61.34247183799744,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/imagenet100/crd_from_std_resnet50_student_augmix,,,,1.0,,,custom,,0.0002
270,False,False,,False,90,,,10.820001363754272,48.01867008209228,66.56104624271393,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet18_1.5,0.25,L¹ Filter,1.3333333333333333,1.45,,,,,0.0002
270,False,False,,False,90,,,9.719997644424438,38.95706534385681,57.28789567947388,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/distillation/6,,,,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,24.68000054359436,35.44410467147827,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.1/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
300,False,False,,False,100,,,26.13999843597412,49.970734119415276,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/baseline/standard_bad,,,,1.0,,,,,0.0002
270,False,True,,False,90,,,10.159999132156372,47.93093204498291,65.83678126335144,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/imagenet100/kd_from_std_resnet50_student_augmix,,,,1.0,,,custom,,0.0002
2,False,False,,False,15,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-23/15-00-50,,Global Weight,40,1.0,,,,,0.0002
90,True,True,,True,30,,,19.34000253677368,41.28720760345459,61.47180497646332,0.1,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_kd_amda/finetune/1,,,,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,27.219998836517334,40.62199592590332,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.3/crd_0.9/kd_0.7/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,False,512.0,False,100,,,11.680001020431519,42.94213056564331,62.29306757450104,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/runs_supcon/imagenet100/kd_augmix/classification_without_am,,,,1.0,KD_SupCon,False,,0.07,0.0002
138,True,True,,True,60,,,,,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/hydra_kd/pretrained_amda/2,,,,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,25.379997491836548,36.15337014198303,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.1/prune_ratio_2,,L¹ Filter,2,1.0,,,custom,,0.0002
300,False,True,,False,100,,,27.49999761581421,40.67031741142273,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.2/crd_0.1/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.36000108718872,35.36421060562134,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.4/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,13.200002908706665,31.040799617767327,54.520174860954285,0.092,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_4_mixture_0.6_lr_0.092_decay_0.0001/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,0.0001
270,False,False,,False,90,,,14.03999924659729,57.14826583862305,70.79668939113617,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/random_channels/2,0.75,Random Filter,4.0,1.45,,,,,0.0002
3,False,False,,False,15,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-23/11-58-57,,,,1.0,,,,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,13.539999723434448,31.101596355438232,55.250903964042664,0.062,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.5_lr_0.062_decay_5e-05/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,5e-05
300,False,True,,False,100,,,24.629998207092285,35.54095029830932,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.7/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
0,False,False,,False,90,,,11.559998989105225,50.70613622665405,67.25943982601166,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/pruning/l1_channels_resnet18_std/1,0.3,L¹ Filter,1.4285714285714286,1.0,,,,,0.0002
90,True,True,,True,30,,,13.099998235702515,29.798132181167603,55.84583580493927,0.1,StandardLoss,mnasnet1_0,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/basemodels/mnasnet_amda,,,,1.0,,,,,0.0002
90,True,True,,True,30,,,15.65999984741211,36.39867305755615,58.742886781692505,0.1,KnowledgeDistill,mnasnet1_0,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/hydra_kd_amda/finetune/1,,,,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,24.290001392364502,35.54421067237854,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.2/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
300,False,False,128.0,False,100,,,24.37000274658203,48.34042191505432,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/pruning/standard/0,0.25,L¹ Filter,1.3333333333333333,1.45,StandardLoss,False,,,0.0002
300,False,True,,False,100,,,25.230002403259277,36.38326525688171,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.4/crd_0.6/prune_ratio_2,,L¹ Filter,2,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.529999494552612,35.405057668685906,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.3/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
180,True,True,,True,60,,,7.7799975872039795,23.36906194686889,47.45214581489563,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/kd_pruning_amda/5,0.75,Global Weight,4.0,1.45,,,AMDA ResNet50,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,13.48000168800354,30.655735731124878,54.46197688579559,0.088,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.4_lr_0.088_decay_8e-05/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,8e-05
300,False,True,,False,100,,,33.05000066757202,46.46821022033691,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.4/crd_0.3/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.91999864578247,45.99999785423279,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.0_augmix_0.4/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,16.699999570846558,35.04613041877746,57.986289262771606,0.039,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.039_decay_2e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,2e-05
300,False,True,,False,100,,,24.049997329711914,35.16716361045837,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.1_augmix_0.0/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.76000189781189,35.86031198501587,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.2_augmix_0.0/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,16.500002145767212,36.10560297966003,58.22555720806122,0.053,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.8_lr_0.053_decay_5e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,5e-05
90,True,True,,True,30,,,15.759998559951782,38.66426348686218,58.736419677734375,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/subnet_final/subnets/resnet18/amda_kd_amda/amda_kd_amda/1,,,,1.0,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,24.69000220298767,35.72926521301269,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.4/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
90,True,True,,True,30,,,14.020001888275146,30.29226660728454,55.08923828601837,0.033,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_3_mixture_0.1_lr_0.033_decay_5e-05/0,,,,1.0,,,AMDA ResNet50,,5e-05
0,False,True,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-03-19/13-35-02,,,,1.0,,,,,0.0002
270,False,False,,False,90,,,9.939998388290405,52.0261287689209,68.25530230998993,0.1,ContrastiveDistill,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/distillation/crd_settings/11,,,,1.0,,,SWSL ResNet50,,0.0002
90,True,True,,True,30,,,10.079997777938843,25.38026571273803,49.527937173843384,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/combined/kd_l1_channels_resnet18_amda/8,0.1,L¹ Filter,1.1111111111111112,1.0,,,AMDA ResNet50,,0.0002
90,True,True,,True,30,,,64.71999883651733,77.28373408317566,86.80807054042818,0.1,StandardLoss,mnasnet1_0,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/hydra_amda/3,,,,1.0,,,,,0.0002
0,False,False,,False,90,,,,,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-03-23/19-51-11,,,,1.0,,,AMDA ResNet50,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,17.180001735687256,35.87065935134887,58.29668939113617,0.131,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.5_lr_0.131_decay_7e-05/finetune/2,,,40,1.0,KnowledgeDistill,True,AMDA ResNet50,,7e-05
180,True,True,,True,60,,,10.759997367858887,27.79173851013183,52.877652645111084,0.1,StandardLoss,mnasnet,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/pruning_amda/5,0.25,Global Weight,1.3333333333333333,1.45,,,,,0.0002
78,False,True,,False,100,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/thesis/cifar100/classification/from_epoch_100/from_batch_128/trial_2,,,,1.0,,,,,0.0002
90,True,True,,True,30,,,13.239997625350952,29.904264211654656,54.623642563819885,0.078,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_5_mixture_0.5_lr_0.078_decay_3e-05/0,,,,1.0,,,AMDA ResNet50,,3e-05
90,True,True,,True,30,,,15.939998626708984,33.8808000087738,57.63062536716461,0.057,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_2_mixture_0.2_lr_0.057_decay_3e-05/1,,,,1.0,,,AMDA ResNet50,,3e-05
300,False,True,,False,100,,,33.10999870300293,45.85863351821899,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.6/crd_0.4/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.949997663497925,35.56399941444397,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.7/crd_0.2/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
1500,False,True,,False,500,,,98.39999992400408,98.70853424072266,98.15700985491276,0.1,SupCon,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/runs_supcon/imagenet100_again/augmix/head,,,,1.0,,,,,0.0002
90,True,True,,True,30,,,16.699999570846558,36.76106929779053,56.73823058605194,0.02,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_6_mixture_0.2_lr_0.02_decay_7e-05/1,,,,1.0,,,AMDA ResNet50,,7e-05
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/37,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,33.090001344680786,49.50263500213623,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.8/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
270,False,False,,False,90,,,13.559997081756592,55.04720211029053,67.73150563240051,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet18_0.5,0.75,L¹ Filter,4.0,1.45,,,,,0.0002
300,False,True,,False,100,,,25.690001249313354,47.95694947242737,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.0_augmix_1.0/prune_ratio_1.7,,L¹ Filter,1.7,1.0,,,custom,,0.0002
90,True,True,,True,30,,,37.55999803543091,68.0237352848053,78.20098251104355,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/imagenet100_runs/pruning/kd_augmix/prune_0.9,0.9,L¹ Filter,10.000000000000002,1.0,,,STD ResNet50,,0.0002
8,True,True,,True,30,,,,,,0.01,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/kd_adma_analysis/14,0.5,L¹ Filter,2.0,1.45,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,23.479998111724854,34.69263315200805,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.1/crd_0.9/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
90,True,True,,True,30,,,44.98000144958496,65.24613499641418,78.66657972335815,0.092,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_4_mixture_0.6_lr_0.092_decay_0.0001/3,,,,1.0,,,AMDA ResNet50,,0.0001
270,False,False,,False,90,,,15.119999647140503,56.0744047164917,69.04423236846924,0.01,AttentionDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs/at_kd_analysis/46,,,,1.0,,,AMDA ResNet50,,0.0001
300,False,True,,False,100,,,24.379998445510864,35.49873828887939,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.2/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
300,False,True,,False,100,,,25.279998779296875,35.89410185813904,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_1.0_augmix_0.2/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
300,False,True,,False,100,,,27.219998836517334,39.15778994560241,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_1.0/crd_1.0/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
270,False,False,,False,90,,,11.019998788833618,41.21013283729553,61.271339654922485,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/amda_resnet/mask_selection/imagenet/1,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,27.710002660751343,40.724319219589226,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_1.0_augmix_0.0/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
90,True,True,,True,30,,,85.92000007629395,90.01546502113342,92.42757335305214,0.1,StandardLoss,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_amda/2,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,27.74999737739563,41.48157835006714,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.4_augmix_0.2/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
180,True,True,,True,60,,,22.920000553131104,44.06559467315674,64.22012448310852,0.1,StandardLoss,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/pruned_amda/redo_random/0,0.5,Random Filter,2.0,1.45,,,,,0.0002
