,Amda,Augmix,Batch Size,DeepAugment,Epochs,Hydra Amda,Hydra Loss,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Teacher,Temperature,WeightDecay
300,False,True,,False,100,,,24.36000108718872,35.273057222366326,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.3/crd_0.8/kd_0.9/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
0,False,False,,False,90,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-05-03/22-19-28,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.330002069473267,35.3372573852539,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.3/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
300,False,True,,False,100,,,27.74999737739563,41.48157835006714,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.4_augmix_0.4/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,128.0,False,100,,,39.92000222206116,54.747474193573,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/final_cifar100/combine_hydra_distill/pruned/3,,,,1.0,StandardLoss,False,AM ResNet50,,0.0002
1050,False,True,,False,350,,,99.01000000536442,99.04578924179076,,0.1,SupCon,resnet34,/work/dlclarge2/agnihotr-shashank-pruneshift/resnet34/supcon/cifar/augmix,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.720001220703125,35.82684397697449,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.4_augmix_0.0/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
90,True,True,,True,30,,,16.699999570846558,37.51333355903625,58.826953172683716,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/sneak_prev/tune/2,,,,1.0,,,AMDA ResNet50,,0.0002
270,False,True,,False,90,,,11.220002174377441,44.31573152542114,64.47879076004028,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/imagenet100/resnet18_teacher_no_jsd,,,,1.0,,,,,0.0002
300,False,True,,False,100,,,24.720001220703125,35.47325730323791,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_0.8/prune_ratio_1.5,,L¹ Filter,1.5,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.489998817443848,35.96020936965942,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.2/crd_0.3/prune_ratio_2,,L¹ Filter,2,1.0,,,custom,,0.0002
90,True,True,256.0,True,30,True,KnowledgeDistill,13.440001010894775,31.10586404800415,54.83704209327698,0.036,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/kd_4_mixture_0.6_lr_0.036_decay_6e-05/finetune/1,,,20,1.0,KnowledgeDistill,True,AMDA ResNet50,,6e-05
300,False,True,,False,100,,,24.529999494552612,35.29884219169616,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.5/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
270,False,False,,False,90,,,12.319999933242798,51.68853998184204,64.97671902179718,0.1,AttentionDistill,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/experiments/img100/workshop/distillation/deepaugment_teacher/5,,,,1.0,,,DA ResNet50,,0.0002
90,True,True,,True,30,,,72.7400004863739,86.42586469650269,84.80988144874573,0.1,KnowledgeDistill,mobilenet_v2,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/hydra_double_kd/2,,,,1.45,,,AMDA ResNet50,,0.0002
300,False,True,,False,100,,,27.880001068115234,40.26042222976684,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.6/crd_0.2/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,25.24999976158142,36.004316806793206,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.8_augmix_0.6/prune_ratio_1.3,,L¹ Filter,1.3,1.0,,,custom,,0.0002
90,True,True,,True,30,,,12.099999189376831,29.986661672592156,53.37558090686798,0.058,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hyperparameter_analysis/goodconfig/0,,,,1.0,,,AMDA ResNet50,,9e-05
300,False,True,,False,100,,,32.46999979019165,48.95326495170593,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.7/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
300,False,True,,False,100,,,24.309998750686646,35.05400419235229,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.6/kd_0.8/prune_ratio_1.1,,L¹ Filter,1.1,1.0,,,custom,,0.0002
9,False,False,,False,100,,,,,,0.1,StandardLoss,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-03-24/15-02-14,,,,1.0,,,,,0.0002
294,False,True,,False,100,,,,,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.8/crd_0.1/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
0,False,False,,False,90,,,,,,0.1,,resnet50,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/debug_runs/2021-04-01/11-27-52,,,,1.0,,,,,
300,False,True,,False,100,,,24.93000030517578,36.30347847938537,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.5/crd_0.5/prune_ratio_2,,L¹ Filter,2,1.0,,,custom,,0.0002
300,False,True,,False,100,,,27.719998359680176,40.77894687652588,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.2/crd_0.5/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,27.75999903678894,41.04189276695251,,0.1,KnowledgeDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/kd_augmix_exps/kd_0.6_augmix_0.2/prune_ratio_4,,L¹ Filter,4,1.0,,,custom,,0.0002
300,False,True,,False,100,,,33.399999141693115,48.70126247406006,,0.1,ContrastiveDistill,resnet18,/work/dlclarge2/agnihotr-shashank-pruneshift/hoffmaja-pruneshift/shashank_runs/augmix_0.0/crd_0.0/prune_ratio_8,,L¹ Filter,8,1.0,,,custom,,0.0002
