,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,LearningRate,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,WeightDecay,kd_T,kd_mixture
90,True,True,256.0,True,30,37.91999816894531,58.48933458328247,74.24340546131134,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network1/90,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,12.059998512268066,26.766401529312127,51.85592472553253,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network2/0,0.1,L¹ Filter,1.1111111111111112,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,12.040001153945923,27.428799867629998,52.42498815059662,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network2/1,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,13.999998569488525,30.243998765945427,54.07397747039795,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network2/2,0.5,L¹ Filter,2.0,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,19.260001182556152,37.353605031967156,58.645886182785034,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network2/3,0.7,L¹ Filter,3.333333333333333,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,37.66000270843506,57.56160020828247,73.42214286327362,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network2/90,0.9,L¹ Filter,10.000000000000002,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,12.080001831054688,26.86453461647033,52.48318612575531,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/0,0.25,L¹ Filter,1.3333333333333333,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,13.95999789237976,30.461865663528442,54.04164493083954,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/1,0.5,L¹ Filter,2.0,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,11.820000410079956,25.993329286575317,51.57785713672638,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/10,0.1,L¹ Filter,1.1111111111111112,1.0,StandardLoss,True,,0.0002,,
90,True,True,256.0,True,30,18.18000078201294,36.58640384674072,57.56596028804779,0.1,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/train_emsemble/imagenet100/amda/seperated/network3/2,0.7,L¹ Filter,3.333333333333333,1.0,StandardLoss,True,,0.0002,,
