,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Scaled Up,True,3.339908,0.3727272727272727,0.2980861271591176,0.1675268665158371,0.061588246033575
1,Calibrated Scaled Up,True,10.01649,0.5840909090909091,0.5450590245785811,0.4173854638009049,0.2466236278509224
2,Calibrated Scaled Up,True,16.714576,0.7204545454545455,0.7036586466829768,0.6094103506787331,0.4537571369709812
3,Calibrated Scaled Up,True,25.071984,0.8613636363636363,0.8594999254069164,0.8127828054298643,0.7243697666785388
4,Calibrated Scaled Up,True,30.088819,0.9431818181818182,0.9442107763635328,0.9258342760180996,0.8896665539317066
5,Calibrated Scaled Up,True,33.42918,1.0,1.0,1.0,1.0
6,Not Calibrated Scaled Up,True,3.33713,0.3727272727272727,0.3002752580824647,0.1678803733031674,0.0612527547735274
7,Not Calibrated Scaled Up,True,10.021333,0.5863636363636363,0.5483808178603374,0.4177389705882353,0.2464821604408036
8,Not Calibrated Scaled Up,True,16.709903,0.725,0.7056364838933363,0.6097638574660633,0.4532801783008148
9,Not Calibrated Scaled Up,True,25.065552,0.8636363636363636,0.8621174063120475,0.8127828054298643,0.723910446540184
10,Not Calibrated Scaled Up,True,30.085265,0.9454545454545454,0.9461181823362298,0.9258342760180996,0.8893663397352823
11,Not Calibrated Scaled Up,True,33.42918,1.0,1.0,1.0,1.0
