,Name,Amda,Model Size,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining
0,Calibrated Prune-Train seperate,False,3.346732,0.3763020833333333,0.30224609375,0.1619059244791666,0.058624267578125
1,Calibrated Prune-Train seperate,False,10.090988,0.5963541666666666,0.5506184895833334,0.41314697265625,0.244415283203125
2,Calibrated Prune-Train seperate,False,16.835692,0.7265625,0.710205078125,0.6071573893229166,0.45166015625
3,Calibrated Prune-Train seperate,False,25.255212,0.8580729166666666,0.864501953125,0.8118489583333334,0.7230936686197916
4,Calibrated Prune-Train seperate,False,30.306988,0.9231770833333334,0.94677734375,0.9261271158854166,0.88897705078125
5,Calibrated Prune-Train seperate,False,33.683436,1.0,1.0,1.0,1.0
6,Not Calibrated Prune-Train seperate,False,3.357164,0.3815104166666667,0.3044840494791667,0.1628824869791666,0.058563232421875
7,Not Calibrated Prune-Train seperate,False,10.085804,0.59765625,0.5546061197916666,0.41400146484375,0.2437235514322916
8,Not Calibrated Prune-Train seperate,False,16.82942,0.7278645833333334,0.7126871744791666,0.60858154296875,0.4508768717447917
9,Not Calibrated Prune-Train seperate,False,25.260524,0.85546875,0.8667399088541666,0.8134969075520834,0.7227986653645834
10,Not Calibrated Prune-Train seperate,False,30.311404,0.9231770833333334,0.9468180338541666,0.9268595377604166,0.8889668782552084
11,Not Calibrated Prune-Train seperate,False,33.683436,1.0,1.0,1.0,1.0
