,Name,Amda,Model Size,Test Target Probability,Test Target Name,Test Class 1 Probability,Test Class 1 Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name
0,Calibrated Prune-Train seperate,True,3.344876,0.153099700808525,0,0.153099700808525,0,0.383345752954483,0
1,Calibrated Prune-Train seperate,True,10.089196,0.2862936854362488,0,0.2862936854362488,0,0.4727945327758789,0
2,Calibrated Prune-Train seperate,True,16.829932,0.2697546482086181,0,0.2697546482086181,0,0.2076869308948516,0
3,Calibrated Prune-Train seperate,True,25.258732,0.188140720129013,0,0.264564961194992,28,0.2187635898590088,0
4,Calibrated Prune-Train seperate,True,30.306668,0.4249699711799621,0,0.4249699711799621,0,0.2559971809387207,0
5,Calibrated Prune-Train seperate,True,33.683436,0.280979722738266,0,0.280979722738266,0,0.1991862803697586,0
6,Not Calibrated Prune-Train seperate,True,3.344876,0.1322169303894043,0,0.162104994058609,28,0.3205451369285583,0
7,Not Calibrated Prune-Train seperate,True,10.090348,0.2944180369377136,0,0.2944180369377136,0,0.3887471258640289,0
8,Not Calibrated Prune-Train seperate,True,16.830828,0.3817082345485687,0,0.3817082345485687,0,0.1851080805063247,0
9,Not Calibrated Prune-Train seperate,True,25.259756,0.1920681297779083,0,0.2332490682601928,28,0.2266581505537033,0
10,Not Calibrated Prune-Train seperate,True,30.311276,0.538753092288971,0,0.538753092288971,0,0.3874208331108093,0
11,Not Calibrated Prune-Train seperate,True,33.683436,0.5353409647941589,0,0.5353409647941589,0,0.2710888683795929,0
