,Name,Amda,Model Size,Test Target Probability,Test Target Name,Test Class 1 Probability,Test Class 1 Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name
0,Calibrated Prune-Train seperate,False,3.346732,0.5730351209640503,0,0.5730351209640503,0,0.7188990712165833,0
1,Calibrated Prune-Train seperate,False,10.090988,0.3994344770908355,0,0.3994344770908355,0,0.5091416239738464,29
2,Calibrated Prune-Train seperate,False,16.835692,0.3511888682842254,0,0.3511888682842254,0,0.6540816426277161,29
3,Calibrated Prune-Train seperate,False,25.255212,0.1834362298250198,0,0.3562726676464081,27,0.3490548729896545,29
4,Calibrated Prune-Train seperate,False,30.306988,0.2774582505226135,0,0.2774582505226135,0,0.5885635614395142,29
5,Calibrated Prune-Train seperate,False,33.683436,0.4394214451313019,0,0.4394214451313019,0,0.5771442651748657,29
6,Not Calibrated Prune-Train seperate,False,3.357164,0.3813124895095825,0,0.3813124895095825,0,0.5947522521018982,0
7,Not Calibrated Prune-Train seperate,False,10.085804,0.3250852823257446,0,0.3250852823257446,0,0.3630801439285278,0
8,Not Calibrated Prune-Train seperate,False,16.82942,0.3103996217250824,0,0.3103996217250824,0,0.6205362677574158,29
9,Not Calibrated Prune-Train seperate,False,25.260524,0.7849540114402771,0,0.7849540114402771,0,0.4905774295330047,0
10,Not Calibrated Prune-Train seperate,False,30.311404,0.3642519116401672,0,0.3642519116401672,0,0.720677375793457,29
11,Not Calibrated Prune-Train seperate,False,33.683436,0.3423447608947754,0,0.3423447608947754,0,0.6542047262191772,29
