,Unnamed: 0,Amda,Augmix,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Scaling,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,err,mean ECE corr,mCE calc,mFP,mean ECE pertubation,mean error pertubation,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
1,0,False,False,False,0,16.680002212524414,62.50959634780884,73.88127148151398,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/90/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/90/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/90/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/90/2/checkpoint/last.ckpt,504580396.0,3.347308,1.603043794631958,0.1662022471427917,4.399437427520752,0.6243152618408203,0.0478483333333333,0.0773921906948089,0.2180135250091552,0.3776041666666667,0.30078125,0.1615397135416666,0.058807373046875,0.21044921875,11,0.1717529296875,0,0.158935546875,30,0.1717529296875,0,0.427734375,0,0.1715087890625,11,0.08038330078125,30,0.427734375,0,0.697265625,0,0.09075927734375,29,0.056121826171875,11,0.697265625,0,0.77734375,0,0.1319580078125,29,0.0193023681640625,83,0.77734375,0,0.1981201171875,89,0.0802001953125,29,0.07391357421875,50,0.036163330078125,0,Calibrated Prune joint Train seperate
2,0,False,False,False,0,11.140000820159912,51.11440420150757,66.32177829742432,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/70/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/70/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/70/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/70/2/checkpoint/last.ckpt,880605484.0,10.102252,1.194181203842163,0.1106687784194946,3.124040365219116,0.5103874802589417,0.0314401666666666,0.0737314075231552,0.1439889073371887,0.5963541666666666,0.5506184895833334,0.41351318359375,0.2447713216145833,0.42724609375,27,0.264404296875,30,0.09686279296875,0,0.09686279296875,0,0.275146484375,29,0.2069091796875,0,0.1275634765625,27,0.2069091796875,0,0.587890625,29,0.1251220703125,0,0.0712890625,30,0.1251220703125,0,0.5947265625,29,0.12127685546875,0,0.04425048828125,30,0.12127685546875,0,0.36279296875,89,0.05047607421875,33,0.037811279296875,63,0.0075950622558593,0,Calibrated Prune joint Train seperate
3,0,False,False,False,0,9.680002927780162,48.342669010162346,64.83445465564728,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/50/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/50/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/50/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/50/2/checkpoint/last.ckpt,1165117740.0,16.835436,1.2474312782287598,0.0963375568389892,3.429086208343506,0.4827335476875305,0.0275159999999999,0.0739783495664596,0.1283439397811889,0.7265625,0.710205078125,0.6071573893229166,0.4516499837239583,0.4091796875,27,0.185791015625,0,0.13916015625,30,0.185791015625,0,0.214599609375,29,0.17041015625,11,0.15771484375,0,0.15771484375,0,0.82373046875,29,0.04248046875,18,0.025360107421875,30,0.0246734619140625,0,0.89013671875,29,0.03070068359375,18,0.0189971923828125,83,0.0127487182617187,0,0.74853515625,89,0.0288543701171875,33,0.01983642578125,38,0.003702163696289,0,Calibrated Prune joint Train seperate
4,0,False,False,False,0,9.619998931884757,47.09999561309814,64.42705690860748,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/25/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/25/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/25/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/25/2/checkpoint/last.ckpt,1478535468.0,25.255212,1.25228750705719,0.0957404375076294,3.3530521392822266,0.4702600836753845,0.0258739999999999,0.0754975005984306,0.125636875629425,0.8580729166666666,0.864501953125,0.8118489583333334,0.7230936686197916,0.455078125,0,0.208251953125,27,0.08062744140625,30,0.455078125,0,0.3515625,0,0.1895751953125,29,0.13037109375,27,0.3515625,0,0.6748046875,29,0.156005859375,0,0.032684326171875,30,0.156005859375,0,0.791015625,29,0.12420654296875,0,0.0166168212890625,83,0.12420654296875,0,0.7529296875,89,0.0170745849609375,33,0.0168304443359375,44,0.002084732055664,0,Calibrated Prune joint Train seperate
5,0,False,False,False,0,9.780001640319824,47.03759551048279,65.31945168972015,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/10/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/10/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/10/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/calibrated/standard/finetuned/10/2/checkpoint/last.ckpt,1653963052.0,30.306988,1.2004375457763672,0.0971337556838989,3.7386105060577393,0.4695966243743896,0.0255676666666666,0.076573833823204,0.1245620846748352,0.9231770833333334,0.94677734375,0.9261271158854166,0.88897705078125,0.564453125,0,0.180419921875,30,0.0635986328125,11,0.564453125,0,0.3779296875,0,0.1710205078125,29,0.11663818359375,11,0.3779296875,0,0.5419921875,29,0.19873046875,0,0.03466796875,30,0.19873046875,0,0.62939453125,29,0.1927490234375,0,0.0364990234375,83,0.1927490234375,0,0.8232421875,89,0.019134521484375,63,0.0182952880859375,10,0.0009994506835937,0,Calibrated Prune joint Train seperate
0,0,False,False,False,0,10.799998044967651,49.29573535919189,67.2400414943695,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated/resnet18/standard/unpruned/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/calibrated/resnet18/standard/unpruned/network1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/calibrated/resnet18/standard/unpruned/network2/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/calibrated/resnet18/standard/unpruned/network3/checkpoint/last.ckpt,1784641836.0,33.683436,1.2029187679290771,0.1078821420669555,4.459074020385742,0.4921868443489074,0.0290299999999999,0.0865757837891578,0.1391718983650207,1.0,1.0,1.0,1.0,0.440673828125,0,0.1925048828125,28,0.104248046875,30,0.440673828125,0,0.396240234375,0,0.1002197265625,29,0.09674072265625,30,0.396240234375,0,0.57568359375,29,0.1593017578125,0,0.05926513671875,30,0.1593017578125,0,0.65380859375,29,0.1627197265625,0,0.03106689453125,82,0.1627197265625,0,0.966796875,89,0.0055274963378906,38,0.0033206939697265,44,5.4776668548583984e-05,0,Calibrated Prune joint Train seperate
