,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,err,mean ECE corr,mCE calc,mFP,mean ECE pertubation,mean error pertubation,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
270,False,False,256.0,False,90,14.78000283241272,57.56453275680542,72.23228216171265,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/4,0.9,L¹ Filter Globally,10.000000000000002,1.73,StandardLoss,False,,False,False,False,,,,473068696.0,3.339436,1.5065749883651733,0.14729297161102295,3.5081677436828613,0.574872612953186,0.050807999999999985,0.09628164023160934,0.18548965454101562,0.39090909090909093,0.33612219691677653,0.17685944570135748,0.05655444051036014,0.306640625,27,0.1163330078125,30,0.102294921875,28,0.06500244140625,0,0.249755859375,0,0.1485595703125,29,0.10052490234375,27,0.249755859375,0,0.30126953125,29,0.296630859375,0,0.08367919921875,30,0.296630859375,0,0.583984375,0,0.205078125,29,0.026123046875,83,0.583984375,0,0.80078125,89,0.07476806640625,16,0.0143585205078125,14,0.0008711814880371094,0,Calibrated Scaled Up
270,False,False,256.0,False,90,10.240000486373901,49.01787042617798,66.37997925281525,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/3,0.7,L¹ Filter Globally,3.333333333333333,1.73,StandardLoss,False,,False,False,False,,,,843881545.0,10.023339,1.32173752784729,0.10210984945297241,3.8495614528656006,0.48949575424194336,0.034657666666666635,0.08522961288690567,0.13188683986663818,0.6045454545454545,0.5839460317439991,0.4340356334841629,0.23996384500040405,0.45556640625,0,0.080078125,11,0.054290771484375,27,0.45556640625,0,0.232666015625,29,0.1473388671875,0,0.06756591796875,30,0.1473388671875,0,0.7216796875,29,0.0684814453125,30,0.034912109375,0,0.034912109375,0,0.669921875,29,0.07635498046875,0,0.0479736328125,30,0.07635498046875,0,0.9208984375,89,0.024261474609375,79,0.020904541015625,16,0.00023484230041503906,0,Calibrated Scaled Up
270,False,False,256.0,False,90,10.339999198913574,47.467470169067376,65.70098400115967,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/2,0.5,L¹ Filter Globally,2.0,1.73,StandardLoss,False,,False,False,False,,,,1122644538.0,16.712296,1.3148499727249146,0.10290604829788208,4.711123943328857,0.47389596700668335,0.03058299999999997,0.0850846916437149,0.12744826078414917,0.7386363636363636,0.7333550176174137,0.6235152714932126,0.4479803581779237,0.85107421875,0,0.053558349609375,11,0.0264129638671875,2,0.85107421875,0,0.51513671875,0,0.1435546875,96,0.06781005859375,30,0.51513671875,0,0.324462890625,29,0.2646484375,0,0.1016845703125,30,0.2646484375,0,0.354248046875,29,0.27490234375,0,0.0799560546875,83,0.27490234375,0,0.3955078125,89,0.0921630859375,62,0.048095703125,44,0.0012340545654296875,0,Calibrated Scaled Up
270,False,False,256.0,False,90,10.199999809265137,46.87039852142334,66.29591286182404,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/1,0.25,L¹ Filter Globally,1.3333333333333333,1.73,StandardLoss,False,,False,False,False,,,,1426307215.0,25.069504,1.2249687910079956,0.10151273012161255,4.760946273803711,0.46792465448379517,0.030491166666666673,0.08363047242164612,0.12629371881484985,0.8704545454545455,0.8744185421117974,0.8207720588235294,0.7211898027736791,0.66064453125,0,0.1217041015625,31,0.0704345703125,30,0.66064453125,0,0.29248046875,0,0.232177734375,30,0.179443359375,29,0.29248046875,0,0.44482421875,29,0.1197509765625,0,0.100830078125,30,0.1197509765625,0,0.32763671875,29,0.18310546875,0,0.0537109375,18,0.18310546875,0,0.32958984375,89,0.1842041015625,79,0.0675048828125,38,0.00024020671844482422,0,Calibrated Scaled Up
270,False,False,256.0,False,90,10.159999132156372,47.41573333740234,66.47697985172272,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/pruned/0,0.1,L¹ Filter Globally,1.1111111111111112,1.73,StandardLoss,False,,False,False,False,,,,1602911288.0,30.090846,1.3443312644958496,0.10111463069915771,4.6702561378479,0.4733784794807434,0.029311499999999997,0.08378671854734421,0.1255970597267151,0.95,0.9512827129088294,0.9291572398190046,0.8883591476438892,0.720703125,30,0.2451171875,0,0.00734710693359375,2,0.2451171875,0,0.671875,30,0.17529296875,0,0.06781005859375,29,0.17529296875,0,0.53955078125,30,0.30029296875,29,0.0677490234375,0,0.0677490234375,0,0.361572265625,29,0.32666015625,30,0.1466064453125,0,0.1466064453125,0,0.91064453125,89,0.021759033203125,46,0.01043701171875,2,0.0007371902465820312,0,Calibrated Scaled Up
270,False,False,,False,90,10.780000686645508,48.20373058319092,67.31764078140259,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/calibrated_scaled_up/resnet18/standard/unpruned,,,,1.73,,,,False,False,False,,,,1717798200.0,33.42918,1.3169437646865845,0.10708600282669067,4.552774429321289,0.4812765121459961,0.0303588333333333,0.08801953494548798,0.1334792971611023,1.0,1.0,1.0,1.0,0.335693359375,30,0.31640625,27,0.116455078125,0,0.116455078125,0,0.373291015625,30,0.146240234375,27,0.1368408203125,29,0.0706787109375,0,0.479248046875,29,0.2012939453125,30,0.07122802734375,27,0.0182647705078125,0,0.337890625,29,0.2122802734375,18,0.10064697265625,83,0.0288848876953125,0,0.366943359375,89,0.1256103515625,10,0.056396484375,13,0.00484466552734375,0,Calibrated Scaled Up
