,Amda,Augmix,Batch Size,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Prune Ratio,Scaling,SupCon Loss,Supcon Amda,Temperature,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,err,mean ECE corr,mCE calc,mFP,mean ECE pertubation,mean error pertubation,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
90,True,True,256.0,True,30,19.34000253677368,39.11280035972595,62.70046532154083,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/l1_global/amda/4,0.9,L¹ Filter Globally,10.000000000000002,1.73,StandardLoss,True,,False,False,False,,,,448917368.0,3.33713,2.964012384414673,0.1924760937690735,4.321238040924072,0.3905360698699951,0.03234400000000004,0.06469062715768814,0.2152467966079712,0.37272727272727274,0.30027525808246475,0.1678803733031674,0.061252754773527436,0.4521484375,31,0.12261962890625,0,0.09893798828125,22,0.12261962890625,0,0.32958984375,31,0.248779296875,0,0.0294189453125,86,0.248779296875,0,0.406494140625,31,0.25537109375,0,0.048553466796875,29,0.25537109375,0,0.341064453125,31,0.2166748046875,0,0.11602783203125,29,0.2166748046875,0,0.10394287109375,0,0.08270263671875,27,0.0775146484375,89,0.10394287109375,0,Not Calibrated Scaled Up
90,True,True,256.0,True,30,11.699998378753662,26.728802919387817,51.97879076004028,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/l1_global/amda/3,0.7,L¹ Filter Globally,3.333333333333333,1.73,StandardLoss,True,,False,False,False,,,,817644765.0,10.021333,1.5870250463485718,0.11624205112457275,2.6959569454193115,0.2664649486541748,0.020327666666666702,0.04596296697854996,0.13085192441940308,0.5863636363636363,0.5483808178603374,0.4177389705882353,0.24648216044080368,0.56298828125,31,0.09710693359375,0,0.043426513671875,28,0.09710693359375,0,0.4765625,31,0.07098388671875,0,0.046630859375,86,0.07098388671875,0,0.54345703125,31,0.054107666015625,0,0.047088623046875,29,0.054107666015625,0,0.351806640625,31,0.08306884765625,29,0.077880859375,0,0.077880859375,0,0.12353515625,0,0.1129150390625,89,0.081787109375,27,0.12353515625,0,Not Calibrated Scaled Up
90,True,True,256.0,True,30,10.479998588562012,24.47972893714904,50.67899525165558,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/l1_global/amda/2,0.5,L¹ Filter Globally,2.0,1.73,StandardLoss,True,,False,False,False,,,,1102102381.0,16.709903,1.3429187536239624,0.10410034656524658,2.2805216312408447,0.24396228790283203,0.017737166666666717,0.04360585659742355,0.11709785461425781,0.725,0.7056364838933363,0.6097638574660633,0.4532801783008148,0.275634765625,0,0.0699462890625,42,0.06903076171875,28,0.275634765625,0,0.34716796875,0,0.1873779296875,31,0.037261962890625,27,0.34716796875,0,0.370361328125,31,0.1883544921875,0,0.034454345703125,29,0.1883544921875,0,0.2176513671875,31,0.1561279296875,0,0.0811767578125,82,0.1561279296875,0,0.09844970703125,11,0.08465576171875,27,0.08209228515625,0,0.08209228515625,0,Not Calibrated Scaled Up
90,True,True,256.0,True,30,10.439997911453247,23.47893118858337,50.15519857406616,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/l1_global/amda/1,0.25,L¹ Filter Globally,1.3333333333333333,1.73,StandardLoss,True,,False,False,False,,,,1416241944.0,25.065552,1.2358125448226929,0.10390126705169678,2.0997538566589355,0.23394906520843506,0.016692500000000034,0.04760000854730606,0.11546570062637329,0.8636363636363636,0.8621174063120475,0.8127828054298643,0.723910446540184,0.481201171875,0,0.08392333984375,31,0.07672119140625,11,0.481201171875,0,0.53369140625,0,0.07568359375,11,0.0455322265625,31,0.53369140625,0,0.25634765625,0,0.1409912109375,31,0.07037353515625,44,0.25634765625,0,0.228759765625,0,0.11041259765625,31,0.0908203125,29,0.228759765625,0,0.1204833984375,16,0.11053466796875,89,0.08880615234375,27,0.0489501953125,0,Not Calibrated Scaled Up
90,True,True,256.0,True,30,10.399997234344482,23.21066856384277,50.459131598472595,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/pruned/l1_global/amda/0,0.1,L¹ Filter Globally,1.1111111111111112,1.73,StandardLoss,True,,False,False,False,,,,1597893163.0,30.085265,1.2389124631881714,0.10350316762924194,2.043091058731079,0.23136675357818604,0.017111500000000023,0.04832844063639641,0.11405247449874878,0.9454545454545454,0.9461181823362298,0.9258342760180995,0.8893663397352823,0.763671875,0,0.06854248046875,11,0.06292724609375,31,0.763671875,0,0.85107421875,0,0.03076171875,31,0.02520751953125,28,0.85107421875,0,0.54443359375,0,0.15966796875,31,0.055633544921875,29,0.54443359375,0,0.361083984375,0,0.18505859375,31,0.121826171875,29,0.361083984375,0,0.2939453125,2,0.09344482421875,0,0.084716796875,11,0.09344482421875,0,Not Calibrated Scaled Up
90,True,True,,True,30,10.699999332427979,24.40560460090637,51.48732662200928,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/scaled_resnet18/imagenet100/amda_1.73,,,,1.73,,,,False,False,False,,,,1717798200.0,33.42918,1.358218789100647,0.10648882389068604,2.207268714904785,0.24323248863220215,0.017543833333333373,0.04887460917234421,0.11948651075363159,1.0,1.0,1.0,1.0,0.36767578125,0,0.1856689453125,31,0.0843505859375,28,0.36767578125,0,0.43701171875,0,0.1348876953125,28,0.0975341796875,31,0.43701171875,0,0.239990234375,31,0.227294921875,0,0.09344482421875,28,0.227294921875,0,0.2135009765625,0,0.1240234375,31,0.0947265625,28,0.2135009765625,0,0.08380126953125,38,0.056915283203125,29,0.05474853515625,14,0.015594482421875,0,Not Calibrated Scaled Up
