,Unnamed: 0,Amda,Augmix,DeepAugment,Epochs,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Scaling,ensemble,loading_ensemble,multiheaded,network1,network2,network3,MACs,Model Size,ECE,err,mean ECE corr,mCE calc,mFP,mean ECE pertubation,mean error pertubation,Layer1 Remaining,Layer2 Remaining,Layer3 Remaining,Layer4 Remaining,Test Class 1 Probability,Test Class 1 Name,Test Class 2 Probability,Test Class 2 Name,Test Class 3 Probability,Test Class 3 Name,Test Target Probability,Test Target Name,Bright 1 Class 1 Probability,Bright 1 Class 1 Name,Bright 1 Class 2 Probability,Bright 1 Class 2 Name,Bright 1 Class 3 Probability,Bright 1 Class 3 Name,Bright 1 Target Probability,Bright 1 Target Name,Bright 3 Class 1 Probability,Bright 3 Class 1 Name,Bright 3 Class 2 Probability,Bright 3 Class 2 Name,Bright 3 Class 3 Probability,Bright 3 Class 3 Name,Bright 3 Target Probability,Bright 3 Target Name,Bright 5 Class 1 Probability,Bright 5 Class 1 Name,Bright 5 Class 2 Probability,Bright 5 Class 2 Name,Bright 5 Class 3 Probability,Bright 5 Class 3 Name,Bright 5 Target Probability,Bright 5 Target Name,Rend Class 1 Probability,Rend Class 1 Name,Rend Class 2 Probability,Rend Class 2 Name,Rend Class 3 Probability,Rend Class 3 Name,Rend Target Probability,Rend Target Name,Name
1,0,False,False,False,0,16.87999963760376,62.10960149765015,73.84893894195557,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/90/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/90/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/90/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/90/2/checkpoint/last.ckpt,504580396.0,3.347308,1.6442375183105469,0.1681926846504211,3.8867671489715576,0.6204512119293213,0.047555,0.0777429640293121,0.2194864749908447,0.3776041666666667,0.30078125,0.1615397135416666,0.058807373046875,0.479248046875,0,0.1611328125,11,0.1300048828125,27,0.479248046875,0,0.73583984375,0,0.09393310546875,11,0.0457763671875,30,0.73583984375,0,0.8818359375,0,0.0287933349609375,29,0.0242462158203125,11,0.8818359375,0,0.89697265625,0,0.046630859375,29,0.018829345703125,83,0.89697265625,0,0.09771728515625,29,0.0889892578125,44,0.06756591796875,63,0.01751708984375,0,Not Calibrated Prune joint Train seperate
2,0,False,False,False,0,11.019998788833618,51.22827291488648,65.93378186225891,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/70/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/70/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/70/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/70/2/checkpoint/last.ckpt,880605484.0,10.102252,1.1532562971115112,0.1096735596656799,3.143764972686768,0.5116056203842163,0.0325088333333332,0.0726874992251396,0.1432522535324096,0.5963541666666666,0.5506184895833334,0.41351318359375,0.2447713216145833,0.29443359375,27,0.26806640625,30,0.1922607421875,0,0.1922607421875,0,0.244873046875,30,0.22216796875,29,0.1915283203125,0,0.1915283203125,0,0.5517578125,29,0.1741943359375,0,0.12744140625,30,0.1741943359375,0,0.73828125,29,0.1248779296875,0,0.0380859375,30,0.1248779296875,0,0.87939453125,89,0.0220489501953125,33,0.0060997009277343,63,0.0033111572265625,0,Not Calibrated Prune joint Train seperate
3,0,False,False,False,0,9.920001029968262,48.34773540496826,65.06078541278839,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/50/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/50/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/50/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/50/2/checkpoint/last.ckpt,1165117740.0,16.835436,1.200224995613098,0.0989251732826232,3.431063175201416,0.4827308654785156,0.0272476666666666,0.0727206245064735,0.1272690892219543,0.7265625,0.710205078125,0.6071573893229166,0.4516499837239583,0.414306640625,0,0.1298828125,11,0.12060546875,30,0.414306640625,0,0.30712890625,29,0.186279296875,0,0.11981201171875,30,0.186279296875,0,0.8349609375,29,0.0517578125,18,0.0361328125,30,0.0200347900390625,0,0.9072265625,29,0.031890869140625,18,0.017547607421875,83,0.0148391723632812,0,0.54052734375,89,0.0513916015625,33,0.0408935546875,63,0.0039291381835937,0,Not Calibrated Prune joint Train seperate
4,0,False,False,False,0,9.560000896453856,47.11520075798034,64.82152044773102,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/25/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/25/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/25/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/25/2/checkpoint/last.ckpt,1478535468.0,25.255212,1.136199951171875,0.0953423380851745,3.399479389190674,0.4703954458236694,0.0259188333333333,0.0746567994356155,0.124940276145935,0.8580729166666666,0.864501953125,0.8118489583333334,0.7230936686197916,0.370849609375,27,0.30029296875,0,0.1947021484375,30,0.30029296875,0,0.264892578125,0,0.203125,27,0.1878662109375,30,0.264892578125,0,0.521484375,29,0.181640625,0,0.1026611328125,30,0.181640625,0,0.64990234375,29,0.2401123046875,0,0.02294921875,30,0.2401123046875,0,0.84912109375,89,0.0097885131835937,29,0.0093002319335937,38,0.0020523071289062,0,Not Calibrated Prune joint Train seperate
5,0,False,False,False,0,9.680002927780162,46.83040380477905,65.27418494224548,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/10/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/10/0/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/10/1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_prune_joint_train_sep/not_calibrated/standard/finetuned/10/2/checkpoint/last.ckpt,1653963052.0,30.306988,1.229143738746643,0.0963375568389892,3.452742099761963,0.4674522280693054,0.0258654999999999,0.0773632898926734,0.1257961392402649,0.9231770833333334,0.94677734375,0.9261271158854166,0.88897705078125,0.55029296875,0,0.127197265625,28,0.1070556640625,27,0.55029296875,0,0.2646484375,0,0.2318115234375,29,0.115234375,28,0.2646484375,0,0.75927734375,29,0.0828857421875,0,0.037811279296875,18,0.0828857421875,0,0.869140625,29,0.062225341796875,0,0.016357421875,18,0.062225341796875,0,0.80517578125,89,0.024169921875,63,0.0225372314453125,33,0.0010547637939453,0,Not Calibrated Prune joint Train seperate
0,0,False,False,False,0,10.259997844696043,47.48746752738952,66.08898043632507,StandardLoss,resnet18,/work/dlclarge1/agnihotr-ensemble/second_ensembles/resnet18/standard/performance,1,True,False,False,/work/dlclarge1/agnihotr-ensemble/second_ensembles/resnet18/standard/network1/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_ensembles/resnet18/standard/network2/checkpoint/last.ckpt,/work/dlclarge1/agnihotr-ensemble/second_ensembles/resnet18/standard/network3/checkpoint/last.ckpt,1784641836.0,33.683436,1.1725687980651855,0.1023089289665222,3.730968475341797,0.4740472435951233,0.0275706666666666,0.0797940641641616,0.1291003227233886,1.0,1.0,1.0,1.0,0.342529296875,0,0.1876220703125,28,0.1197509765625,27,0.342529296875,0,0.324951171875,0,0.1678466796875,29,0.099853515625,27,0.324951171875,0,0.65576171875,29,0.1619873046875,0,0.0228424072265625,27,0.1619873046875,0,0.7890625,29,0.135009765625,0,0.0111846923828125,18,0.135009765625,0,0.63232421875,89,0.06011962890625,44,0.0299835205078125,15,0.0029945373535156,0,Not Calibrated Prune joint Train seperate
