,Amda,Augmix,DeepAugment,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error,Loss,Network,Path,Prune Amount,Prune Method,Scaling,MACs,Model Size
270,False,False,False,0.11059999465942383,0.5424133539199829,0.6875323355197906,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/9,0.25,Random Weight,1.45,474439377.0,3.596163
270,False,False,False,0.11320000886917114,0.5369999408721924,0.6899896562099457,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/random_channels/0,0.25,Random Filter,1.45,478709606.0,4.72335
270,False,False,False,0.11059999465942383,0.5281440019607544,0.6814537048339844,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/0,0.25,L¹ Filter,1.45,478709606.0,4.72335
270,False,False,False,0.20099997520446777,0.6283146739006042,0.7565959692001343,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/11,0.75,Random Weight,1.45,156556532.0,1.198721
270,False,False,False,0.10699999332427979,0.4992826581001282,0.6652224659919739,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/1,0.5,L¹ Filter,1.45,1945417301.0,11.755187
270,False,False,False,0.09960001707077026,0.4758453369140625,0.6652871072292328,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/6,0.25,Global Weight,1.45,3102156375.0,17.641056
270,False,False,False,0.1403999924659729,0.5714826583862305,0.7079668939113617,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/random_channels/2,0.75,Random Filter,1.45,1060496321.0,5.886906
270,False,False,False,0.10780000686645508,0.53248530626297,0.6798370480537415,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/7,0.5,Global Weight,1.45,410150887.0,2.397442
270,False,False,False,0.22899997234344482,0.6483920216560364,0.7534919828176498,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mobilenet_v2/2,0.75,L¹ Filter,1.45,156302905.0,1.198345
270,False,False,False,0.10519999265670776,0.4780187010765075,0.6659984588623047,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/resnet18/0,0.25,L¹ Filter,1.45,2836139163.0,17.653127
270,False,False,False,0.11320000886917114,0.5309759974479675,0.694451630115509,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/experiments/img100/workshop/pruning/mnasnet/8,0.75,Global Weight,1.45,269334420.0,1.574235
270,False,False,False,0.107200026512146,0.510424017906189,0.6812596917152405,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/mnasnet_scaled_2_std,0.0,Global Weight,1.45,636345668.0,6.29694
270,False,False,False,0.107200026512146,0.510424017906189,0.6812596917152405,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/mnasnet_scaled_2_std,0.0,L¹ Filter,1.45,636345668.0,6.29694
270,False,False,False,0.107200026512146,0.510424017906189,0.6812596917152405,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/mnasnet_scaled_2_std,0.0,Random Filter,1.45,636345668.0,6.29694
270,False,False,False,0.107200026512146,0.510424017906189,0.6812596917152405,StandardLoss,mnasnet,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mnasnet/mnasnet_scaled_2_std,0.0,Random Weight,1.45,636345668.0,6.29694
270,False,False,False,0.10799998044967651,0.5229200124740601,0.6830703616142273,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/mobilenet_v2_scaled_2_std,0.0,Global Weight,1.45,633723556.0,4.794884
270,False,False,False,0.10799998044967651,0.5229200124740601,0.6830703616142273,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/mobilenet_v2_scaled_2_std,0.0,L¹ Filter,1.45,633723556.0,4.794884
270,False,False,False,0.10799998044967651,0.5229200124740601,0.6830703616142273,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/mobilenet_v2_scaled_2_std,0.0,Random Filter,1.45,633723556.0,4.794884
270,False,False,False,0.10799998044967651,0.5229200124740601,0.6830703616142273,StandardLoss,mobilenet_v2,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/mobilenet_v2/mobilenet_v2_scaled_2_std,0.0,Random Weight,1.45,633723556.0,4.794884
270,False,False,False,0.10339999198913574,0.4905787110328674,0.6775090396404266,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet_18_std_scaled_2,0.0,Global Weight,1.45,3721060114.0,23.521408
270,False,False,False,0.10339999198913574,0.4905787110328674,0.6775090396404266,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet_18_std_scaled_2,0.0,L¹ Filter,1.45,3721060114.0,23.521408
270,False,False,False,0.10339999198913574,0.4905787110328674,0.6775090396404266,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet_18_std_scaled_2,0.0,Random Filter,1.45,3721060114.0,23.521408
270,False,False,False,0.10339999198913574,0.4905787110328674,0.6775090396404266,StandardLoss,resnet18,/work/dlclarge2/hoffmaja-pruneshift/shashank_runs/icml_runs_new/standard/resnet_18_std_scaled_2,0.0,Random Weight,1.45,3721060114.0,23.521408
