,Prune Ratio,LearningRate,WeightDecay,kd_T,kd_mixture,ImageNet100 Error,ImageNet100-C Error,ImageNet100-R Error
90,10,0.1,0.0002,4.0,0.5,11.28000020980835,28.59333157539367,52.47671902179718
90,20,0.1,0.0002,4.0,0.5,12.779998779296875,31.382936239242547,54.81117367744446
90,40,0.1,0.0002,4.0,0.5,15.700000524520874,36.411726474761956,58.600619435310364
90,80,0.1,0.0002,4.0,0.5,26.120001077651978,48.34293723106384,67.55690574645996
